type,subject,format,question,answer
toss-up,energy,Multiple Choice,14) Energy – Multiple Choice Which of the following is closest to the number of commercial nuclear reactors currently operating in the United States? W) 25 X) 45 Y) 100 Z) 160,Y) 100
bonus,energy,Short Answer,"14) Energy – Short Answer The Vermont Yankee Nuclear Power Plant closed in 2014. After that closure, according to the Nuclear Energy Institute, what U.S. state has the largest percentage of the electricity generated within its borders from nuclear power?",SOUTH CAROLINA
toss-up,math,Short Answer,17) Math – Short Answer How many minutes equal 10 and 1/2 hours?,630
bonus,math,Short Answer,17) Math – Short Answer What is the area of a regular hexagon with sides of length 8?,"96√3
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,math,Short Answer,"20) Math – Short Answer Besides itself, what is the largest integer factor of 255?",85
bonus,math,Short Answer,20) Math – Short Answer Simplify the expression: 6 plus 6 times 6 minus 6 divided by 6,41
toss-up,energy,Multiple Choice,"21) Physical Science – Multiple Choice When designing a solar panel field in the northern hemisphere, in what cardinal direction should the panels tilt to collect the greatest solar energy collection? W) North X) South Y) East Z) West",X) SOUTH
bonus,energy,Short Answer,"21) Physical Science – Short Answer If a 1-kilogram rock is launched straight up with a kinetic energy of 4.9 joules, how high, in meters, will it go before it falls back down?","0.5
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,energy,Short Answer,4) Energy – Short Answer What type of power plant only needs to be refueled once a year?,NUCLEAR
bonus,energy,Short Answer,"4) Energy – Short Answer Of the four major types of coal mined in the US, which has the lowest energy content?",LIGNITE
toss-up,math,Multiple Choice,5) Math – Multiple Choice What is the square root of one trillion? W) Ten thousand X) One hundred thousand Y) One million Z) Ten million,Y) ONE MILLION
bonus,math,Short Answer,5) Math – Short Answer A right circular cylinder has a radius of 2 and a height of 10. A second right circular cylinder has a radius of 3 and a height of 6. What is the larger lateral surface area of the two cylinders?,"40 pi
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,energy,Short Answer,"8) Energy – Short Answer How many strokes are in a complete cycle for typical small engines found in leaf blowers, hedge trimmers, and go-carts?",TWO
bonus,energy,Multiple Choice,8) Energy – Multiple Choice A low-e window will have greater performance in comparison to a standard home window in what regard? W) It will allow more infrared energy into the home X) It will allow less ultraviolet energy into the home Y) It will emit less radiant energy from the home Z) It will allow more visible light into the home,Y) IT WILL EMIT LESS RADIANT ENERGY FROM THE HOME
toss-up,energy,Short Answer,"11) General Science – Short Answer What formula predicts the energy yield of fission, where a quantity of mass is annihilated?",E=MC2 (ACCEPT: MASS-ENERGY EQUIVALENCE)
toss-up,math,Short Answer,"12) Math – Short Answer When the radius of a circle is tripled, by what factor is its area multiplied?",9
bonus,math,Short Answer,12) Math – Short Answer What number is required to complete the square for the polynomial 4x2 + 10x?,"25/4 (ACCEPT: 6 ¼, 6.25)"
toss-up,math,Short Answer,14) Math – Short Answer What is the x-intercept of the line with equation 5x – 3y = –30?,"(–6, 0) (ACCEPT: –6)"
bonus,math,Short Answer,"14) Math – Short Answer Given the prime factorizations of the following two numbers, what is their greatest common divisor: 25 times 3 times 52 and 23 times 33 times 5 times 7.",120
toss-up,energy,Multiple Choice,"15) Energy – Multiple Choice What country made the largest monetary investment in solar, wind, biofuels, and other low-carbon energy technologies in 2014? W) China X) Brazil Y) United States Z) Canada",W) CHINA
bonus,energy,Short Answer,15) Energy – Short Answer What mountainous region of the United States contains the largest proven natural gas reserves?,"APPALACHIAN (ACCEPT: APPALACHIA)
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,math,Short Answer,21) Math – Short Answer For what real numbers is the following rational function not defined: the fraction with numerator x times open parenthesis x2 – 4 close parenthesis and denominator open parenthesis x + 2 close parenthesis times open parenthesis x – 5 close parenthesis?,-2 and 5
bonus,math,Short Answer,21) Math – Short Answer A rhombus has diagonals of length 14 and 18. What is its area?,"126
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,math,Multiple Choice,1) Math – Multiple Choice Which of the following describes the lines represented by the equations 5x + 3y = 15 and –10x – 6y = 60? W) They are parallel X) They are skew Y) They intersect at exactly one point Z) They are the same line,W) THEY ARE PARALLEL
bonus,math,Short Answer,"1) Math – Short Answer Nelly bought a mixture of two types of her favorite candies, costing 40 cents and 50 cents per ounce, respectively. The cost of 50 ounces of her mixture was $21.80. How many ounces of the 50-cent candy were in the mixture?","18
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,energy,Multiple Choice,4) Energy – Multiple Choice Which of the following electricity generation methods would work best as a peaker plant? W) Coal-fired X) Natural gas-fired Y) Nuclear Z) Geothermal,X) NATURAL GAS-FIRED
bonus,energy,Multiple Choice,"4) Energy – Multiple Choice In a standard lithium-ion battery, from what substance is the anode made? W) Carbon X) Lithium cobalt oxide Y) Lithium iron phosphate Z) Copper",W) CARBON
toss-up,math,Short Answer,"10) Math – Short Answer What is the degree of the product of the three binomials x + 2, x4 + x2, and x2 + 3?",7
bonus,math,Short Answer,10) Math – Short Answer A bag contains 9 different mini candy bars. How many different sets of 3 of them can be selected?,84
toss-up,energy,Short Answer,11) Energy – Short Answer Compact fluorescent lightbulbs should be recycled because they contain what harmful element?,MERCURY (ACCEPT: Hg)
bonus,energy,Multiple Choice,"11) Energy – Multiple Choice Research at Argonne National Laboratory has been done on nuclear fuel recycling. After a nuclear fuel rod has been removed from a reactor, which of the following is closest to the percentage of the unused uranium that is still present in the rod and could be recycled? W) 25 X) 50 Y) 75 Z) 95","Z) 95
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,energy,Multiple Choice,14) Energy – Multiple Choice Which of the following fuels used for electricity production produces radioactive waste? W) Wind X) Natural gas Y) Geothermal Z) Coal,Z) COAL
bonus,energy,Short Answer,14) Energy – Short Answer What U. S. river has the most potential to generate electricity using existing dams?,OHIO
toss-up,math,Short Answer,"16) Math – Short Answer What is the least common multiple of 3, 10, and 20?",60
bonus,math,Short Answer,"16) Math – Short Answer A hiker traveled 4 kilometers east, proceeded 11 kilometers south, then 6 kilometers west, and finally 6 kilometers north. How far, in kilometers, is the hiker from the starting point?",√29
toss-up,math,Short Answer,"19) Math – Short Answer If a number is increased by 40%, by what percent is its square increased?",96
bonus,math,Short Answer,19) Math – Short Answer The graph of the line with equation y = 3x + 2 is reflected through the x-axis. What is the slope-intercept equation of the reflected line?,"y = –3x – 2
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,math,Short Answer,22) Math – Short Answer The measure of an exterior angle of a regular polygon is 20°. How many sides does the polygon have?,18
bonus,math,Short Answer,22) Math – Short Answer A prism with 12 edges has how many faces?,6
toss-up,math,Multiple Choice,3) Math – Multiple Choice A polynomial function has a zero at x = –6. Which of the following must be a factor of the polynomial? W) –6x X) 6x Y) x + 6 Z) x – 6,Y) x + 6
bonus,math,Short Answer,"3) Math – Short Answer An isosceles right triangle with legs of length 10 is inscribed in a circle in such a way that its hypotenuse coincides with a diameter of the circle. To the nearest integer, what is the area of the circle?","157
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,energy,Short Answer,"5) Energy – Short Answer In what California desert is the Ivanpah Solar Electric Generation System, the world's largest solar thermal power station?",MOJAVE DESERT
bonus,energy,Multiple Choice,"5) Energy – Multiple Choice When nuclear fuel rods are placed underwater, a blue glow can be observed around them. What is the term for this phenomenon? W) Cherenkov radiation X) Mendeleev radiation Y) Gamma radiation Z) Ultraviolet radiation","W) CHERENKOV RADIATION
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,math,Multiple Choice,9) Math – Multiple Choice What is the equation of the axis of symmetry for the graph of y = x2 – 4x + 4? W) x = –2 X) y = –2 Y) x = 2 Z) y = 2,Y) x = 2
bonus,math,Short Answer,9) Math – Short Answer How many diagonals does a convex 13-sided polygon have?,"65
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,chemistry,Short Answer,11) Physical Science – Short Answer What area of chemistry is concerned with studying the rates of chemical reactions?,KINETICS
toss-up,energy,Multiple Choice,"12) Energy – Multiple Choice In a lithium-ion battery, what happens to the battery when the anode and cathode reactions are run in reverse? W) It goes dead X) It short-circuits Y) It runs twice as long Z) It recharges",Z) IT RECHARGES
bonus,energy,Multiple Choice,"12) Energy – Multiple Choice High-voltage transmission line voltages are typically at least which of the following voltages? W) 220 X) 1,100 Y) 44,000 Z) 110,000","Z) 110,000"
toss-up,energy,Multiple Choice,15) General Science – Multiple Choice What is the SI unit of energy? W) Volt X) Joule Y) Watt Z) Ampere,X) JOULE
toss-up,math,Short Answer,17) Math – Short Answer Solve the following equation for x: open absolute value x – 3 close absolute value equals 9.,"–6, 12 (must give both answers)"
bonus,math,Short Answer,"17) Math – Short Answer Find the length, rounded to the nearest whole number, of a space diagonal in a right rectangular prism with edges of length 5, 7, and 10.","13
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,energy,Multiple Choice,"18) Energy – Multiple Choice According to the Department of Energy, as of 2014, which of the following is closest to the percentage of U.S. energy used for transportation that is provided by oil? W) 56 X) 71 Y) 92 Z) 100",Y) 92
bonus,energy,Multiple Choice,"18) Energy – Multiple Choice According to the EPA, which of the following is closest to the percentage of U.S. greenhouse gas emissions in 2009 that resulted from the provision of food? W) 1 X) 7 Y) 13 Z) 19",Y) 13
toss-up,math,Short Answer,"20) Math – Short Answer If theta is an angle in a right triangle and sine of theta = 3/5, what is cosine of theta?",4/5 (ACCEPT: 0.8)
bonus,math,Short Answer,"20) Math – Short Answer Solve the following system of two equations for x and y: x + y = 5, x – 3y = 13","(7, –2) (ACCEPT: x = 7, y = –2)"
toss-up,energy,Short Answer,22) Physical Science – Short Answer What is the term for the amount of energy required to homolytically break a bond between two atoms?,BOND DISSOCIATION ENERGY (ALSO ACCEPT: BOND DISSOCIATION)
bonus,energy,Short Answer,"22) Physical Science – Short Answer What is the kinetic energy, in joules, of an object with a mass of 15 kilograms and a velocity of 5 meters per second?",187.5
toss-up,energy,Short Answer,"1) Physical Science – Short Answer At a material's melting point, what intrinsic quantity does NOT change as more heat energy is added to the system?",TEMPERATURE
toss-up,energy,Multiple Choice,2) Energy – Multiple Choice What element is currently the most promising nuclear fuel alternative to uranium due to its greater abundance and better resistance to proliferation? W) Thorium X) Protactinium [proh-tak-TIN-ee-um] Y) Neptunium Z) Plutonium,W) THORIUM
bonus,energy,Short Answer,2) Energy – Short Answer Identify all of the following three lightbulbs that have a filament that must be heated to create visible light: 1) Incandescent; 2) Compact fluorescent; 3) Halogen.,"1, 3 (ALSO ACCEPT: INCANDESCENT AND HALOGEN)"
toss-up,math,Multiple Choice,"5) Math – Multiple Choice When a right triangular region is rotated about one of its legs, what solid is formed? W) Right circular cone X) Right circular cylinder Y) Right triangular pyramid Z) Right triangular prism",W) RIGHT CIRCULAR CONE
bonus,math,Short Answer,"5) Math – Short Answer What is the area of the triangular region formed by the lines with equations x = 2, y = -1, and y = 2x + 1?","9
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,math,Short Answer,10) Math – Short Answer Convert two-six in base 8 to base 10.,22
bonus,math,Short Answer,"10) Math – Short Answer If a right triangular prism has all edges equal to 2, then, to the nearest integer, what is its total surface area?",15
toss-up,energy,Multiple Choice,12) Energy – Multiple Choice Which of the following sources accounts for the largest fraction of consumed renewable energy in the US? W) Natural gas X) Biomass Y) Wind Z) Solar,X) BIOMASS
bonus,energy,Short Answer,12) Energy – Short Answer Solar water heaters were popular in Florida and California from the 1920s until the mid-1950s. What low-cost fuel displaced solar to heat water in the 1950s?,NATURAL GAS
toss-up,math,Short Answer,"14) Math – Short Answer What is the least common multiple of the three quantities 6x, 15x3, and 18x3?",90 x3
bonus,math,Short Answer,"14) Math – Short Answer A flower bed is formed in the shape of a 135-degree sector of a circle of radius 8 feet. To the nearest foot, what is the perimeter of the flower bed?",35
toss-up,energy,Multiple Choice,18) Energy – Multiple Choice Which of the following is introduced at the cathode of a hydrogen fuel cell? W) Hydrogen X) Oxygen Y) Water Z) Protons,X) OXYGEN
bonus,energy,Multiple Choice,"18) Energy – Multiple Choice When at half of its flow capacity, the typical percent efficiency range of a modern wheel micro-hydropower system is which of the following? W) 10 - 30 X) 30 - 50 Y) 50 - 70 Z) 70 - 90",Y) 50 - 70
toss-up,math,Short Answer,19) Math – Short Answer What is 87 times 73?,6351
bonus,math,Short Answer,"19) Math – Short Answer Using the origin as center, the point with coordinates (1, 2) is dilated by a factor of 2, and then the result is rotated by 90 degrees counterclockwise. What are the coordinates of the final image point?","(-4, 2)
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
bonus,energy,Short Answer,21) Physical Science – Short Answer What is the term for the broad group of metabolic reactions that break down large molecules into smaller ones and release energy?,"Catabolism
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,energy,Multiple Choice,"1) Energy – Multiple Choice Currently, almost all used nuclear fuel from power plants in the U.S. is stored at which of the following? W) The power plant site X) A high-level waste repository Y) A low-level waste storage facility Z) A monitored retrieval storage facility",W) THE POWER PLANT SITE
bonus,energy,Short Answer,"1) Energy – Short Answer Rank the following heat sources in order of increasing efficiency: 1) Geothermal heat pump, 2) Electric space heater, 3) Combustion furnace.","2, 3, 1
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,math,Short Answer,"4) Math – Short Answer To the nearest whole number, how many days will it take to travel 4800 miles traveling at a constant speed of 60 miles per hour?",3
bonus,math,Short Answer,"4) Math – Short Answer Given the arithmetic sequence with first three terms –12, –10, –8, what is the 60th term?",106
toss-up,energy,Short Answer,"6) Life Science – Short Answer In fishes, what structures, located in fluid-filled sacs in the inner ear, stimulate sensory cells lining the sacs that convert mechanical to electrical energy?",OTOLITHS (ACCEPT: EARSTONES)
toss-up,energy,Multiple Choice,7) Energy – Multiple Choice Which of the following processes is NOT used to produce hydrogen gas fuel? W) Gasification X) Electrolysis Y) Dry milling Z) Fermentation,Y) DRY MILLING
bonus,energy,Multiple Choice,7) Energy – Multiple Choice Which of the following chemical processes combines methane with water to produce hydrogen gas and carbon monoxide? W) Gas synthesis X) Incomplete combustion Y) Decomposition Z) Steam reforming,"Z) STEAM REFORMING
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,math,Multiple Choice,9) Math – Multiple Choice Which of the following fractions is largest? W) 8/3 X) 9/4 Y) 12/5 Z) 16/7,W) 8/3
bonus,math,Short Answer,9) Math – Short Answer What is the remainder when the polynomial x6 – x4 + x + 3 is divided by x + 2?,"49
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,energy,Short Answer,15) Energy – Short Answer What country has almost all of its municipal heating needs served by geothermal energy?,ICELAND
bonus,energy,Short Answer,15) Energy – Short Answer What is the largest capacity hydropower station in the world?,"THREE GORGES DAM
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,math,Short Answer,17) Math – Short Answer What is the measure of each interior angle of a regular nonagon?,140°
bonus,math,Short Answer,17) Math – Short Answer The bases of a right trapezoid have lengths 6 and 10. The non-perpendicular side connecting them has length 12. What is the height of the trapezoid?,"8√2
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,math,Short Answer,"21) Math – Short Answer If a cube has edges of length 6, what is the length of its space diagonal?",6√3
bonus,math,Short Answer,"21) Math – Short Answer A certain medication has an 80% success rate of curing people who have a specific illness. If three people with the illness are selected at random and take the medicine, what is the probability that exactly two of the three people will be cured?","48/125 (ACCEPT: 0.384 or 38.4%)
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,math,Short Answer,23) Math – Short Answer What is the slope of a line perpendicular to the line with equation 7x – 3y = -21?,-3/7
bonus,math,Short Answer,23) Math – Short Answer A pyramid with 18 edges has how many faces?,10
toss-up,energy,Multiple Choice,1) Energy – Multiple Choice Which of the following is a neutron moderator? W) Sulfur X) Plutonium Y) Uranium Z) Water,Z) WATER
bonus,energy,Short Answer,"1) Energy – Short Answer What is the term for the simultaneous production of electricity and heat, used by many industries to reduce their energy costs?","COMBINED HEAT AND POWER (ACCEPT: CHP OR COGENERATION)
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,math,Short Answer,"2) Math – Short Answer A group of 16 people took a trivia test. Barney’s score of 58 ranked him 9th on the list, right after Betty. If the median of all scores was 62.5, what was Betty’s score?",67
bonus,math,Multiple Choice,2) Math – Multiple Choice Which of the following is a factor of the polynomial 2x3 + 9x2 + x – 12? W) x + 1 X) x + 2 Y) x + 3 Z) x + 4,Z) x + 4
toss-up,energy,Multiple Choice,5) Physical Science – Multiple Choice 400 joules of energy are required to boil 2 kilograms of nitrogen liquid at its boiling point. What is the heat of vaporization of nitrogen in joules per kilogram? W) 50 X) 100 Y) 200 Z) 400,Y) 200
bonus,energy,Short Answer,5) Physical Science – Short Answer What is the term for the energy required to transform a substance from liquid to gas at a given pressure?,"HEAT OF VAPORIZATION
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,math,Short Answer,"8) Math – Short Answer In triangle A-B-C, angle C measures 22 degrees and angle A measures 130 degrees. What is the degree measure of one of the exterior angles formed at vertex B?",152
bonus,math,Short Answer,8) Math – Short Answer Express 2 to the 18th power in scientific notation with one significant digit.,3 times 105
bonus,biology,Short Answer,"9) General Science – Short Answer Place the following four discoveries in microbiology in chronological order from earliest to most recent: 1) The first known zoonotic disease, babesiosis; 2) The process of phagocytosis in cells; 3) The process of transduction, the transfer of genetic information by viruses; 4) The double helix structure of DNA.","2, 1, 3, 4
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,energy,Multiple Choice,10) Energy – Multiple Choice Which of the following is NOT part of clean coal technology? W) Coal washing X) Wet scrubbers Y) Electrostatic precipitators Z) Nitrogen capture,Z) NITROGEN CAPTURE
bonus,energy,Short Answer,10) Energy – Short Answer What structure is formed in marine sediments when methane is under high pressure and cold temperatures?,"HYDRATE (ACCEPT: METHANE HYDRATE, CLATHRATE)"
bonus,biology,Multiple Choice,11) Life Science – Multiple Choice Which of the following correctly describes the use of crystal violet in a biology lab? W) Used to determine the absorption profile of a material X) A staining agent to visualize bacteria Y) A standard cell used to compare the color of protein crystals Z) An electrode to use in protein chemistry experiments,"X) A STAINING AGENT TO VISUALIZE BACTERIA
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,math,Short Answer,14) Math – Short Answer The line with equation y = –2x + 5 contains points in each quadrant except which one?,3 (ACCEPT: THIRD)
bonus,math,Short Answer,14) Math – Short Answer A right circular cone has volume 36. A second cone has 3 times the radius and one-fourth the height of the first. What is the volume of the second cone?,81
toss-up,math,Short Answer,"19) Math – Short Answer Expressing your answer to the nearest 100, find the following sum: 476 + 748 +657.",1900
bonus,math,Short Answer,"19) Math – Short Answer For a right triangle with legs of length 5 and 6, the length of the altitude to the hypotenuse can be expressed as a fraction times a simplified radical. What is the fraction?","30/61
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,energy,Short Answer,21) Energy – Short Answer What Illinois-based particle accelerator was the second highest energy particle collider in the world until it ceased operations in 2011?,TEVATRON
bonus,energy,Short Answer,21) Energy – Short Answer Identify all of the following three statements about ethanol that are TRUE: 1) Ethanol is about 30% less energy dense than gasoline; 2) The addition of ethanol increases the octane rating of gasoline; 3) Ethanol can be made from wood or old newspapers.,"ALL OF THEM
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,chemistry,Short Answer,2) General Science – Short Answer Chemistry emerged from efforts to transmute lead into gold. What was the name of this practice?,ALCHEMY
toss-up,energy,Short Answer,4) Physical Science – Short Answer What fundamental law states that “energy can be neither created nor destroyed?”,"CONSERVATION OF ENERGY (DO NOT ACCEPT: 1ST LAW OF
THERMODYNAMICS)"
toss-up,energy,Short Answer,"5) Energy – Short Answer A renewable energy source generates 7 kilowatts. If the power lost due to transmission is 1 kilowatt, what is the efficiency, to the nearest whole percentage, of the distribution system?",86
