type,subject,format,question,answer
toss-up,physics,Short Answer,"7) Physics – Short Answer Consider 1 mole of an ideal gas at STP. If the temperature of this gas were reduced to 0 kelvins, then, in liters, what would its volume become?",0
bonus,physics,Short Answer,7) Physics – Short Answer Identify all of the following three properties that are the same for a positron and an electron: 1) Their movement in a uniform electric field; 2) Their movement in a uniform gravitational field; 3) Their behavior upon collision with an electron.,2
toss-up,biology,Short Answer,"8) Biology – Short Answer What type of reproductive isolation is demonstrated by the mule, which is a cross between a horse and a donkey?","HYBRID STERILITY (ACCEPT: STERILITY, do not
accept: PRE-ZYGOTIC, POST-ZYGOTIC)"
bonus,biology,Multiple Choice,8) Biology – Multiple Choice Which of the following statements is TRUE regarding water balance in the mammalian body? W) Dehydration increases the osmolality of blood X) Vasopressin is produced by the adrenal gland Y) Renin inhibits the conversion of angiotensinogen [an-jee-oh-ten- SIN-oh-jen] to angiotensin [an-jee-oh-TEN-sin] two Z) Aldosterone [al-DOSS-ter-own] inhibits sodium absorption in the distal tubules,"W) DEHYDRATION INCREASES THE OSMOLALITY
OF BLOOD"
toss-up,chemistry,Short Answer,9) Chemistry – Short Answer The ionization energy of neon is equivalent to the energy required to move an electron from what subshell to the n equals infinity energy level?,2P
bonus,chemistry,Multiple Choice,9) Chemistry – Multiple Choice The dispersity of a polymer would be measured using which of the following techniques? W) Gel permeation chromatography X) Nuclear magnetic resonance Y) Transmission electron microscopy Z) X-ray diffraction,W) GEL PERMEATION CHROMATOGRAPHY
toss-up,energy,Short Answer,11) Energy – Short Answer Oak Ridge National Lab scientists are studying how to bioengineer bacteria with complex immune systems. These systems destroy foreign DNA based on a modification that is also used in genomic imprinting and Barr body formation in mammals. What is this type of DNA modification called?,METHYLATION
bonus,energy,Short Answer,11) Energy – Short Answer Researchers at SLAC National Lab are studying how gluons scatter off one another. What is the term for a particle composed entirely of gluons?,"GLUEBALL (ACCEPT: GLUONIUM, GLUONBALL)"
toss-up,math,Short Answer,12) Math – Short Answer What is 6 factorial divided by 4 factorial?,30
bonus,math,Short Answer,12) Math – Short Answer Express the fraction with numerator 23 + 11i and denominator 1 + 5i in standard a + bi form.,3 – 4i
toss-up,physics,Multiple Choice,"13) Physics – Multiple Choice An 8-kilogram and a 20-kilogram mass are on opposite sides of a 7-meter-long lever. In meters, how far should the fulcrum be placed from the 8-kilogram mass so that the two masses are balanced? W) 3.5 X) 4 Y) 4.5 Z) 5",Z) 5
bonus,physics,Multiple Choice,13) Physics – Multiple Choice Which of the following expressions does not have units of energy? W) Position times momentum X) Velocity squared times mass Y) Angular momentum divided by time Z) Momentum squared divided by mass,W) POSITION TIMES MOMENTUM
toss-up,biology,Multiple Choice,"14) Biology – Multiple Choice Limited food, decreased water, and loss of available nesting sites are likely to have which of the following impacts on a population? W) Decreased carrying capacity X) Increased population growth Y) Decreased selection pressure Z) Decreased per capita death rates",W) DECREASED CARRYING CAPACITY
bonus,biology,Short Answer,14) Biology – Short Answer Identify all of the following three numbers of petals a flower could have that would suggest that it is a monocot: 1) 6; 2) 8; 3) 12.,"1, 3 (ACCEPT: 6, 12)"
toss-up,chemistry,Multiple Choice,15) Chemistry – Multiple Choice Which of the following compounds or ions is the best oxidizing agent? W) Copper(II) ions X) MnO 2 Y) NaBH 4 Z) Iodine solid,"X) MnO
2"
bonus,chemistry,Short Answer,15) Chemistry – Short Answer Rank the following three metals in order of increasing strength as a reducing agent: 1) Copper; 2) Zinc; 3) Lead.,"1, 3, 2"
toss-up,energy,Short Answer,"17) Energy – Short Answer Researchers at Brookhaven National Lab are studying therapeutic recombinant protein production in plants. A major use of this technology is to create what class of proteins, which are commonly composed of a pair of heavy chains and a pair of light chains?","ANTIBODY (ACCEPT: IMMUNOGLOBULIN,
GAMMAGLOBULIN)"
bonus,energy,Short Answer,"17) Energy – Short Answer Scientists at Pacific Northwest National Lab are developing NWChem, a software used in computational chemistry. One assumption typically made in computational chemistry is that the motion of nuclei is negligible compared to the motion of electrons. What is the name of this approximation?","BORN-OPPENHEIMER APPROXIMATION (ACCEPT:
BO APPROXIMATION)"
toss-up,math,Multiple Choice,"18) Math – Multiple Choice A differentiable function f of x has domain the closed interval from 2 to 6 and range the closed interval from 4 to 8. If f prime of x is less than 0 for all x in the domain, what is f of 2? W) 2 X) 4 Y) 6 Z) 8",Z) 8
bonus,math,Short Answer,"18) Math – Short Answer To the nearest whole number, what is the slant height of a right circular cone with radius 7 and height 14?",16
toss-up,math,Multiple Choice,"In 2014, January 1st fell on a Wednesday. What is the next year that January 1st will fall on a Wednesday? W) 2015 X) 2019 Y) 2020 Z) 2025",Y) 2020
bonus,math,Short Answer,"The sums of three whole numbers taken in pairs are 11, 13, and 16. What is the product of these three numbers?","252
_______________________________________________________"
toss-up,biology,Multiple Choice,During which of the following phases of an action potential do voltage-gated sodium channels begin to close? W) Rising phase X) Falling phase Y) After hyperpolarization Z) Refractory period,X) FALLING PHASE
bonus,biology,Multiple Choice,"In humans, in addition to transferring antibodies, colostrum also stimulates the development of the neonatal gut through the transference of which of the following? W) Pheromones X) Non-heritable mutations Y) Beta-galactose Z) Growth factors",Z) GROWTH FACTORS
toss-up,chemistry,Multiple Choice,Halogenation [hal-uh-juh-NAY-shuhn] will occur fastest between methane and the radical of which of the following elements? W) Chlorine X) Iodine Y) Fluorine Z) Bromine,Y) FLUORINE
bonus,chemistry,Short Answer,"In terms of the ideal gas constant R, what is the constant- pressure heat capacity, per mole, of a monatomic ideal gas?","5/2 R (ACCEPT: 2.5 R)
_______________________________________________________"
toss-up,physics,Multiple Choice,An antihydrogen atom is made of what two components? W) An antiproton and a positron X) An antiproton and an electron Y) A proton and a positron Z) A proton and a neutrino,W) AN ANTIPROTON AND A POSITRON
bonus,physics,Multiple Choice,"A capillary tube with an inner radius of 0.1 millimeter is partially dipped in a liquid with a surface tension of 0.1 newtons per meter, with approximately 0 degrees of contact angle. The density of the liquid is approximately the same as that of water. Calculate the liquid rise in the tube. W) 2 millimeter X) 2 centimeter Y) 20 centimeter Z) 2 meter",Y) 20 cm
toss-up,biology,Multiple Choice,Which of the following phases of meiosis [my-OH-sis] is longest? W) Prophase I X) Prophase II Y) Metaphase I Z) Anaphase II,W) PROPHASE I
bonus,biology,Short Answer,"Arrange the following three steps of cell respiration from lowest to highest in terms of net NADH molecules produced per one molecule of glucose entering respiration: 1) glycolysis [gly-KOL-uh-sis], 2) electron transport chain, 3) Krebs cycle.","2, 1, 3 (ACCEPT: ELECTRON TRANSPORT CHAIN, GLYCOLYSIS, KREBS
CYCLE)"
toss-up,energy,Multiple Choice,What major rock type is the medium for fracking? W) Schist [SHIST] X) Shale Y) Basalt Z) Limestone,X) SHALE
bonus,energy,Multiple Choice,What substance was the primary fuel source for NASA space shuttles? W) Propane X) Helium gas Y) Liquid hydrogen Z) Methane,"Y) LIQUID HYDROGEN
_______________________________________________________"
toss-up,chemistry,Multiple Choice,"Which of the following is the full list of products produced by the mild heating of sodium bicarbonate at temperatures of about 80 degrees Celsius? W) Sodium oxide and carbon dioxide X) Sodium peroxide and carbon dioxide Y) Sodium carbonate, water, and carbon dioxide Z) Sodium carbonate and carbon dioxide","Y) SODIUM CARBONATE, WATER, AND CARBON DIOXIDE"
bonus,chemistry,Short Answer,What rule is used to predict the aromaticity of conjugated alkenes?,HUCKEL’S RULE
toss-up,physics,Multiple Choice,Which of the following does not interact with a magnetic field? W) A magnet at rest X) Moving electric charges Y) A moving magnet Z) Electric charges at rest,Z) ELECTRIC CHARGES AT REST
bonus,physics,Multiple Choice,The closest distance at which Gina can properly focus is 100 cm from her eye. The distance of normal vision is 0.25 m. Find the power in diopters [dy-OP-ters] of the converging lens for her eyeglass. W) -3 X) -0.03 Y) 0.03 Z) 3,"Z) 3
_______________________________________________________"
toss-up,biology,Multiple Choice,Which of the following structures would have been most likely absent from the last shared common ancestor of osteichthyans [os-tee-IK-thee-uhns] and chondrichthyans [kan-DRIK-thee-ez]? W) Teeth X) Gills Y) Scales Z) Swim bladder,Z) SWIM BLADDER
bonus,biology,Short Answer,"Place the following four animals in order of lowest to highest energy cost per unit body weight for regulation of body temperature: python, canary, human, poodle.","PYTHON, HUMAN, POODLE, CANARY"
toss-up,chemistry,Short Answer,"The van der Waals equation is an equation of state for real gases that contains two gas-dependent parameters, a and b. What state function from the ideal gas equation does the a parameter modify in the van der Waals equation?",PRESSURE (ACCEPT: P)
bonus,chemistry,Multiple Choice,Which of the following statements concerning the particle-in- a-box model is false? W) The potential well is approximated to be infinitely deep X) The ground state energy increases with the length of the box Y) The energy levels are quantized Z) The energy of level n is proportional to n squared,"X) THE GROUND STATE ENERGY INCREASES WITH THE LENGTH OF THE
BOX"
toss-up,math,Multiple Choice,"(cid:2870)(cid:3051) (cid:3051) 13) MATH Multiple Choice If (cid:3398) [ two x divided by three minus x divided by six] is an (cid:2871) (cid:2874) integer, which of the following MUST be true regarding x? W) x is negative X) x is a multiple of two Y) x is a multiple of three Z) x is odd",X) x IS A MULTIPLE OF TWO
bonus,math,Short Answer,What is the smallest positive integer that can be added to 2500 to get a perfect square?,"101
______________________________________________________"
toss-up,energy,Multiple Choice,A 100 mile 765 kilovolt line carrying 1000 megawatts of energy can have losses ranging from 1.1% to 0.5%. Which of the following best approximates the losses as a ratio to the 1.0% of a 345 kilovolt line carrying the same load across the same distance? W) 1/10 X) 1/4 Y) 4/1 Z) 10/1,Y) 4/1
bonus,energy,Short Answer,"If a single electric distribution line has a resistance of 1 ohm per 1000 meters and current at 50 amps, what will be the voltage reduction over a 10 kilometer run?",500
toss-up,biology,Short Answer,"Identify all of the following three neurotransmitters that are considered to have only excitatory actions: 1) acetylcholine [uh-seet-l-KOH-leen], 2) GABA, 3) glutamate.",3 (ACCEPT: GLUTAMATE)
bonus,biology,Short Answer,What specific cell type in the stomach is responsible for production of hydrochloric acid in response to stimulation by gastrin?,"PARIETAL CELLS
_______________________________________________________"
toss-up,chemistry,Multiple Choice,Which of the following organic functional groups does NOT exhibit sp2 [s-p-2] hybridization? W) Ketones X) Aldehydes [AL-duh-hyds] Y) Amides Z) Amines,Z) AMINES
bonus,chemistry,Multiple Choice,Which of the following statements is true regarding the chemistry of the alkaline earth elements? W) Compounds of beryllium have the most covalent character X) Melting point increases as you go down the group Y) Atomic radius decreases as you go down the group Z) Barium has a distinct red flame test color,W) COMPOUNDS OF BERYLLIUM HAVE THE MOST COVALENT CHARACTER
toss-up,math,Multiple Choice,Which of the following statements is TRUE? W) (cid:3398)7 is not a prime number X) (cid:1857)(cid:3036)(cid:3095) (cid:3404) (cid:3398)(cid:1857)(cid:2879)(cid:3036)(cid:3095) [e to the power of quantity I times pi equals negative e to the power of quantity negative I times pi] Y) All pairs of perpendicular lines in the Cartesian plane have slopes that are negative reciprocals of each other Z) There is no number (cid:1853) such that log(cid:4666)(cid:3398)(cid:1853)(cid:4667) [log of negative a] exists.,W) (cid:3398)7 IS NOT A PRIME NUMBER
bonus,math,Short Answer,"If a circle is divided into 8 sectors whose central degree angles are integers that form an arithmetic sequence with first term 3, what is the common difference for the sequence?","12
_______________________________________________________"
toss-up,physics,Short Answer,"Assuming the heat of fusion for water is 80 calories per gram, what is the increase in entropy, in calories per Kelvin, for a 273 gram block of ice at 0 degrees Celsius when it melts?",80
bonus,physics,Multiple Choice,"An -particle [alpha particle] and a proton, both initially at rest, are accelerated through a potential difference of 105 kilovolts. Find the ratio (K /K ) [k alpha  p over k proton] of their final kinetic energies. W) 1/4 X) 1/2 Y) 2 Z) 4",Y) 2
toss-up,chemistry,Multiple Choice,Which of the following best describes the elementary kinetic step where a proton is transferred directly between an ammonium ion and water? W) Unimolecular X) Bimolecular Y) Trimolecular Z) Tetramolecular,X) BIMOLECULAR
bonus,chemistry,Short Answer,"One liter of a saturated solution of silver chromate contains 0.0002 moles of the silver cation [KAT-eye-uhn] and 0.00003 moles of the chromate ion. To two significant figures and in scientific notation, what is the Ksp of silver chromate?",1.2 x 10-12
toss-up,biology,Multiple Choice,Which of the following vitamin deficiencies causes the condition known as “Pellagra”? W) Vitamin B 3 X) Vitamin B 6 Y) Vitamin B 2 Z) Vitamin B 1,"W) VITAMIN B
3"
bonus,biology,Short Answer,How many molecules of ATP are needed to synthesize two glucose molecules in the Calvin cycle?,"36 ATP
_______________________________________________________"
toss-up,energy,Multiple Choice,Energy radiates from a surface as a function of temperature to what power? W) 1 X) 3 Y) 2 Z) 4,Z) 4
bonus,energy,Multiple Choice,Which of the following rare earth elements is used to produce magnets for wind turbines? W) Europium X) Gadolinium [gad-l-IN-ee-uhm] Y) Scandium Z) Neodymium,Z) NEODYMIUM
toss-up,biology,Short Answer,"What is the common name of the group of marine spiny-finned fish of the order Heterosomata, all of which, when adult, swim along the sea floor on one side of the body, which is highly compressed and has both eyes on the uppermost side?",FLATFISH
bonus,biology,Multiple Choice,"Which of the following statements is NOT true about otters? W) Newborn otters are taken care of by their fathers only X) Their dens are called holts or couches Y) They feed on fish, shellfish, amphibians and birds Z) A male otter is called a dog",W) NEWBORN OTTERS ARE TAKEN CARE OF BY THEIR FATHERS ONLY
toss-up,physics,Multiple Choice,Which of the following cells cannot be recharged? W) Dry X) Wet Y) Primary Z) Secondary,Y) PRIMARY
bonus,physics,Multiple Choice,Changing which of the following will NOT result in a change in the voltage induced in a rotating wire coil? W) Rate of rotation X) Wire resistance Y) Number of coil loops Z) Average loop area,X) WIRE RESISTANCE
toss-up,math,Short Answer,What is x equal to in the following expression: [log base x of x 7 equals 1]? log 7 = 1,7
bonus,math,Short Answer,"If the length, width, and height of a right rectangular prism are in the ratio of [3 to 4 to 12], find the height in meters of the solid if the diagonal of the solid is meters long. 3:4:12 26",24
toss-up,chemistry,Multiple Choice,"When assigning electrons to subshells, which of the following subshells will be filled first? W) 4f X) 5s Y) 5d Z) 6s",X) 5s
bonus,chemistry,Short Answer,Which of the gas laws is demonstrated when an aerosol can is thrown into a fire and explodes?,AMONTON’S (ACCEPT: IDEAL GAS LAW OR GAY-LUSSAC’S LAW)
toss-up,energy,Short Answer,What is the term for a device used to determine or measure the presence of electrostatic charges?,ELECTROSCOPE
bonus,energy,Short Answer,What is the efficiency of an appliance whose useful energy output is 5 joules and wasted energy is 20 joules?,20%
toss-up,math,Short Answer,"Given that g ≤ f ≤ h for all x, the [limit as x approaches a of g of x is M], and the [limit as x approaches a of h of x is M], what is the [limit as x ( 𝑥a ) ppro ( a𝑥c ) hes ( a𝑥 ) of f of x]? lim𝑥→a𝑔(𝑥)= M lim𝑥→aℎ(𝑥)= M","M
lim𝑥→a𝑓(𝑥)"
bonus,math,Short Answer,What is the largest possible real domain of x x ) [f of x equals the natural log of the quantity 3x minus 1]? f ( ) = ln(3 – 1,"x (ACCEPT: THE OPEN INTERVAL FROM 1/3 TO (POSITIVE) INFINITY)
> 1/3"
toss-up,physics,Short Answer,"In 1868, observers of a solar eclipse first noticed a bright yellow spectral line. They theorized that this was due to a new element and gave it what sun-inspired name?",HELIUM
bonus,physics,Multiple Choice,"An electroscope is negatively charged, with the leaves at an angle of about 45°. When a negatively charged rod is slowly brought near the plate of the electroscope, the leaves do which of the following? W) Repel X) Attract Y) Repel then attract Z) Fall to zero then repel",W) REPEL
toss-up,math,Short Answer,"W is one of the vertices of a polygon. If there are diagonals of the polygon that contain W, how many sides does the polygon have? 8",11
bonus,math,Short Answer,A fair standard six-sided die is rolled two times. What is the probability that the sum of the numbers on the two rolls will be greater than ?,"9
1/6"
toss-up,chemistry,Short Answer,What is the name of the bond linking each fatty acid to glycerol [GLIS-uh-rol] in a triglyceride?,ESTER
bonus,chemistry,Short Answer,"Several candidates have been proposed as the discoverer of oxygen. Who, however, is the scientist who most carefully documented his work and thus has been credited with its discovery?",PRIESTLY
toss-up,energy,Multiple Choice,Which of the following particles has the least penetrating power? W) Neutron X) Alpha particle Y) Beta particle Z) Positron,X) ALPHA PARTICLE
bonus,energy,Multiple Choice,The power produced by a wind turbine depends primarily on which of the following parameters? W) Air volume X) Wind pressure Y) Blade radius Z) Air coefficient,Y) BLADE RADIUS
toss-up,biology,Short Answer,Which gas was in short supply in the Earth’s atmosphere prior to the evolution of the citric acid cycle?,OXYGEN
bonus,biology,Multiple Choice,Neurons can communicate with each another at synapses via synaptic vesicles. Which of the following does NOT participate in communication at these sites? W) Neurotransmitter X) Gated channels Y) ATP dependent channels Z) Acetylcholine [uh-seet-l-KOH-leen],Y) ATP DEPENDENT CHANNELS
toss-up,physics,Short Answer,"A lunar vehicle on Earth moves at 10 kilometers per hour. When it travels at the same speed on the Moon, what is its momentum in comparison to its momentum on Earth, assuming that the Moon’s gravitational force is one fifth that of Earth’s?",THE SAME (ACCEPT: EQUAL)
bonus,physics,Short Answer,Coulomb’s law states that an electric force between two charges is inversely proportional to the square of what quantity?,"DISTANCE BETWEEN THEM (ACCEPT: THEIR SEPARATION, RADIAL
DISTANCE BETWEEN THEM)"
toss-up,math,Multiple Choice,"Which of the following numbers is NOT prime? W) X) Y) 107 Z) 109 111 AN1S1W3 ER: Y) 111 BONUS 16) MATH Short Answer Todd the Tortoise is 268 years old, while Sammy the Snail is 32 years old. How many years will it take for Todd’s age to be exactly 5 times Sammy’s age?",27
toss-up,chemistry,Short Answer,"What element has the following four characteristics: 1) it occurs naturally only in combination with other elements in minerals; 2) it is used primarily as a hardening agent in alloys; 3) its dust is highly toxic, and 4) it is an alkaline [AL-kuh-lyn] earth metal.",BERYLLIUM
bonus,chemistry,Short Answer,"Identify all of the following four compounds that are ionic: 1) sodium sulfate, 2) methane, 3) ammonium chloride, 4) beryllium iodide.",1 AND 3 (ACCEPT: SODIUM SULFATE AND AMMONIUM CHLORIDE)
toss-up,energy,Multiple Choice,Rectifiers are used in computers and other appliances to do which of the following? W) Convert direct current to alternating current X) Convert alternating current to direct current Y) Provide a steady amount of power at all times Z) Reduce the energy consumption of an appliance,X) CONVERT ALTERNATING CURRENT TO DIRECT CURRENT
bonus,energy,Short Answer,"When inductors are present in circuits with alternating currents, what type of power do they consume?",REACTIVE
toss-up,biology,Multiple Choice,Which of the following best describes why the xylem [ZY-luhm] is an important plant tissue? W) It transports water and minerals from the roots to the leaves X) It transports water and minerals from the leaves to the roots Y) It is the best part of the plant to eat Z) It gives a plant its strength to stand straight,"W) IT TRANSPORTS WATER AND MINERALS FROM THE ROOTS TO THE
LEAVES"
bonus,biology,Multiple Choice,Your body has approximately one million B cells and ten million different T cells. A gram-negative bacterium enters your body and one of your B cells binds to the bacterium via the BCR recognizing the LPS. Which of the following will happen next? W) The B cell will proliferate X) The virus will enter the B cell Y) Similar T cells will be destroyed Z) The B cell will be destroyed,W) THE B CELL WILL PROLIFERATE
toss-up,physics,Short Answer,What is the SI unit of inductance?,HENRY
bonus,physics,Multiple Choice,"A radioactive element has a half life of 50 seconds. Which of the following is true of a sample of such an element? W) Every atom of the element decays after 50 seconds X) Every atom of the element decays after 100 seconds Y) After 100 seconds, one fourth of the sample has decayed Z) After 100 seconds, three fourths of the sample has decayed","Z) AFTER 100 SECONDS, THREE FOURTHS OF THE SAMPLE HAS DECAYED"
toss-up,math,Short Answer,Give the coordinates of the point where the line x y intersects the x axis. 3 + 2 = 18,"( )
6, 0"
bonus,math,Multiple Choice,"A jar contains 50 marbles. Exactly 10% are green, 20% are blue, 30% are yellow, and the rest are orange. Which of the following is the probability of randomly picking first a blue marble, replacing it, and then picking an orange marble? W) 1 X) 25 2 Y) 25 3 Z) 25 4 25","X)
2
25"
toss-up,chemistry,Multiple Choice,Which of the following is NOT a buffering agent? W) Magnesium oxide X) Rubidium hydroxide Y) Ammonia Z) Monopotassium phosphate,X) RUBIDIUM HYDROXIDE
bonus,chemistry,Short Answer,"What is the name of the reaction, commonly used in lecture demonstrations, in which two colorless solutions are mixed, and the liquid turns to a shade of dark blue after a short time delay?",IODINE CLOCK (ACCEPT: HARCOURT-ESSEN)
toss-up,biology,Short Answer,What is the common name of the unicellular organism that has the following characteristics: 1) it has chloroplasts and can make its own food; 2) it can also ingest food from its environment; 3) it usually lives in ponds or puddles; 4) it moves by a flagellum; 5) it has an eyespot that detects light.,EUGLENA
bonus,biology,Multiple Choice,The gram stain can be used to distinguish between different prokaryotes [proh-KAR-ee-ohts] based on which of the following? W) Glucose metabolism X) Flagella Y) Lactose metabolism Z) Cell wall morphology,Z) CELL WALL MORPHOLOGY
toss-up,biology,Multiple Choice,2) Biology – Multiple Choice In what organ are dietary fats primarily absorbed? W) Small intestine X) Large intestine Y) Stomach Z) Liver,W) SMALL INTESTINE
bonus,biology,Multiple Choice,"2) Biology – Multiple Choice Sepals, petals, and which of the following provide the most complete description for the floral parts that could be found in a single flower of a monoecious plant species? W) Stamens and carpels X) Filaments Y) Carpels Z) Pistils",Z) PISTILS
toss-up,chemistry,Multiple Choice,3) Chemistry – Multiple Choice O and O are considered what type of molecules? 2 3 W) Allotropes X) Structural isomers Y) Isotopes Z) Geometrical isomers,W) ALLOTROPES
bonus,chemistry,Multiple Choice,"3) Chemistry – Multiple Choice If we assume that the bond order in carbon monoxide is three, which of the following correctly gives the formal charges on carbon and oxygen? W) 0 on both carbon and oxygen X) +1 on carbon and -1 on oxygen Y) -1 on carbon and +1 on oxygen Z) +2 on carbon and -2 on oxygen","Y) -1 ON CARBON AND +1 ON OXYGEN
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,energy,Short Answer,4) Energy – Short Answer Order the following three lightbulb technologies from least to most efficient: 1) Light-emitting diode; 2) Incandescent; 3) Compact fluorescent.,"2, 3, 1"
bonus,energy,Short Answer,4) Energy – Short Answer Coal gas was largely used for municipal lighting and heating before it was supplanted by what fuel source?,NATURAL GAS
toss-up,physics,Multiple Choice,"5) Physics – Multiple Choice A rock on the end of a string is being swung in a circle above a child's head. The string breaks. Neglecting gravity, in what direction does the acceleration of the rock now point? W) Tangent to the circle X) Inwards towards the center of the circle Y) Outwards away from the center of the circle Z) The acceleration is now zero",Z) THE ACCELERATION IS NOW ZERO
bonus,physics,Short Answer,5) Physics – Short Answer What is the most malleable element at STP?,"GOLD
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,math,Short Answer,"6) Math – Short Answer What is the midpoint of the segment with endpoints (1, 6) and (5, -2)?","(3, 2)"
bonus,math,Short Answer,6) Math – Short Answer Solve the following system of two equations in two unknowns: x2 + y2 = 2 and x + y = 2.,"(1, 1) (ACCEPT: x = 1 and y = 1)"
toss-up,physics,Multiple Choice,"7) Physics – Multiple Choice Light traveling in a vacuum hits a refractive material at an angle of 60 degrees from the normal. If it travels through the material at an angle of 30 degrees from the normal, which of the following is the refractive index of the material? W) Square root of 3 divided by 2 X) Square root of 3 Y) 2 Z) 2 times the square root of 2",X) SQUARE ROOT OF 3
bonus,physics,Short Answer,7) Physics – Short Answer How many lumens does an isotropic source of 1 candela emit into the upper half plane?,"2π
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,chemistry,Short Answer,8) Chemistry – Short Answer Part of the reason that graphene demonstrates such high mechanical strength is that the carbon atoms are in what hybridization state?,SP2
bonus,chemistry,Short Answer,8) Chemistry – Short Answer Order the following three gases from slowest to fastest in terms of their rate of effusion at 25 degrees Celcius: 1) Helium; 2) Argon; 3) Neon.,"2, 3, 1"
toss-up,math,Short Answer,"9) Math – Short Answer Specifying whether your answer is open or closed, what is the interval of angles in degrees whose terminal sides are in the second quadrant?",THE OPEN INTERVAL FROM 90 TO 180
bonus,math,Multiple Choice,9) Math – Multiple Choice Which of the following base 2 sums is the largest? W) 1 + 1111 [one plus one one one one] X) 100 + 1001 [one zero zero plus one zero zero one] Y) 110 + 1000 [one one zero plus one zero zero zero] Z) 111 + 111 [one one one plus one one one],"W) 1 + 1111
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,energy,Multiple Choice,10) Energy – Multiple Choice Which of the following is NOT an advantage of green roofs? W) Improved waterproofing X) Improved lifespan of roof Y) Reduced heating costs Z) Reduced cooling costs,W) IMPROVED WATERPROOFING
bonus,energy,Multiple Choice,10) Energy – Multiple Choice Which of the following is NOT a desirable quality in the material used to coat nuclear fuel rods? W) Corrosion resistant X) High neutron absorption Y) High hardness Z) Low reactivity to water,X) HIGH NEUTRON ABSORPTION
toss-up,biology,Multiple Choice,11) Biology – Multiple Choice Which of the following structures is referred to as our body’s internal gyroscope? W) Inner ears X) Eyes Y) Outer ears Z) Nose,W) INNER EARS
bonus,biology,Multiple Choice,11) Biology – Multiple Choice Heartwood and sapwood consist of which of the following? W) Bark X) Secondary xylem Y) Periderm Z) Secondary phloem,"X) SECONDARY XYLEM
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,biology,Multiple Choice,13) Biology – Multiple Choice What material typically constitutes the cell wall in fungi? W) Cellulose X) Peptidoglycan Y) Pectin Z) Chitin,Z) CHITIN
bonus,biology,Multiple Choice,13) Biology – Multiple Choice Which of the following is NOT an example of a stone fruit? W) Almond X) Coconut Y) Cherry Z) Apple,"Z) APPLE
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,physics,Multiple Choice,"14) Physics – Multiple Choice Which of the following is the equivalent resistance, in ohms, of a circuit in which a 5 ohm resistor is connected in series to two 4 ohm resistors which are connected in parallel? W) 10/7 X) 40/13 Y) 7 Z) 13",Y) 7
bonus,physics,Short Answer,"14) Physics – Short Answer A man drops a 10 kilogram rock from the top of a building of height 180 meters. If you assume the acceleration due to gravity is 10 meters per second squared, what is the speed, in meters per second, of the rock just before it hits the ground?",60
toss-up,math,Short Answer,16) Math – Short Answer What is the limit as x approaches 3 of the function with numerator x – 3 and denominator x2 – 9?,1/6
