text,target
Generate a Biology multiple choice question:,"Biology – Multiple Choice Limited food, decreased water, and loss of available nesting sites are likely to have which of the following impacts on a population? W) Decreased carrying capacity X) Increased population growth Y) Decreased selection pressure Z) Decreased per capita death rates"
Generate a Biology short answer question:,Biology – Short Answer Identify all of the following three numbers of petals a flower could have that would suggest that it is a monocot: 1) 6; 2) 8; 3) 12.
Generate a Chemistry multiple choice question:,Chemistry – Multiple Choice Which of the following compounds or ions is the best oxidizing agent? W) Copper(II) ions X) MnO 2 Y) NaBH 4 Z) Iodine solid
Generate a Chemistry short answer question:,Chemistry – Short Answer Rank the following three metals in order of increasing strength as a reducing agent: 1) Copper; 2) Zinc; 3) Lead.
Generate a Energy short answer question:,"Energy – Short Answer Researchers at Brookhaven National Lab are studying therapeutic recombinant protein production in plants. A major use of this technology is to create what class of proteins, which are commonly composed of a pair of heavy chains and a pair of light chains?"
Generate a Energy short answer question:,"Energy – Short Answer Scientists at Pacific Northwest National Lab are developing NWChem, a software used in computational chemistry. One assumption typically made in computational chemistry is that the motion of nuclei is negligible compared to the motion of electrons. What is the name of this approximation?"
Generate a Math multiple choice question:,"Math – Multiple Choice A differentiable function f of x has domain the closed interval from 2 to 6 and range the closed interval from 4 to 8. If f prime of x is less than 0 for all x in the domain, what is f of 2? W) 2 X) 4 Y) 6 Z) 8"
Generate a Math short answer question:,"Math – Short Answer To the nearest whole number, what is the slant height of a right circular cone with radius 7 and height 14?"
Generate a Math multiple choice question:,"In 2014, January 1st fell on a Wednesday. What is the next year that January 1st will fall on a Wednesday? W) 2015 X) 2019 Y) 2020 Z) 2025"
Generate a Math short answer question:,"The sums of three whole numbers taken in pairs are 11, 13, and 16. What is the product of these three numbers?"
Generate a Biology multiple choice question:,During which of the following phases of an action potential do voltage-gated sodium channels begin to close? W) Rising phase X) Falling phase Y) After hyperpolarization Z) Refractory period
Generate a Biology multiple choice question:,"In humans, in addition to transferring antibodies, colostrum also stimulates the development of the neonatal gut through the transference of which of the following? W) Pheromones X) Non-heritable mutations Y) Beta-galactose Z) Growth factors"
Generate a Chemistry multiple choice question:,Halogenation [hal-uh-juh-NAY-shuhn] will occur fastest between methane and the radical of which of the following elements? W) Chlorine X) Iodine Y) Fluorine Z) Bromine
Generate a Chemistry short answer question:,"In terms of the ideal gas constant R, what is the constant- pressure heat capacity, per mole, of a monatomic ideal gas?"
Generate a Physics multiple choice question:,An antihydrogen atom is made of what two components? W) An antiproton and a positron X) An antiproton and an electron Y) A proton and a positron Z) A proton and a neutrino
Generate a Physics multiple choice question:,"A capillary tube with an inner radius of 0.1 millimeter is partially dipped in a liquid with a surface tension of 0.1 newtons per meter, with approximately 0 degrees of contact angle. The density of the liquid is approximately the same as that of water. Calculate the liquid rise in the tube. W) 2 millimeter X) 2 centimeter Y) 20 centimeter Z) 2 meter"
Generate a Biology multiple choice question:,Which of the following phases of meiosis [my-OH-sis] is longest? W) Prophase I X) Prophase II Y) Metaphase I Z) Anaphase II
Generate a Biology short answer question:,"Arrange the following three steps of cell respiration from lowest to highest in terms of net NADH molecules produced per one molecule of glucose entering respiration: 1) glycolysis [gly-KOL-uh-sis], 2) electron transport chain, 3) Krebs cycle."
Generate a Energy multiple choice question:,What major rock type is the medium for fracking? W) Schist [SHIST] X) Shale Y) Basalt Z) Limestone
Generate a Energy multiple choice question:,What substance was the primary fuel source for NASA space shuttles? W) Propane X) Helium gas Y) Liquid hydrogen Z) Methane
Generate a Chemistry multiple choice question:,"Which of the following is the full list of products produced by the mild heating of sodium bicarbonate at temperatures of about 80 degrees Celsius? W) Sodium oxide and carbon dioxide X) Sodium peroxide and carbon dioxide Y) Sodium carbonate, water, and carbon dioxide Z) Sodium carbonate and carbon dioxide"
Generate a Chemistry short answer question:,What rule is used to predict the aromaticity of conjugated alkenes?
Generate a Physics multiple choice question:,Which of the following does not interact with a magnetic field? W) A magnet at rest X) Moving electric charges Y) A moving magnet Z) Electric charges at rest
Generate a Physics multiple choice question:,The closest distance at which Gina can properly focus is 100 cm from her eye. The distance of normal vision is 0.25 m. Find the power in diopters [dy-OP-ters] of the converging lens for her eyeglass. W) -3 X) -0.03 Y) 0.03 Z) 3
Generate a Biology multiple choice question:,Which of the following structures would have been most likely absent from the last shared common ancestor of osteichthyans [os-tee-IK-thee-uhns] and chondrichthyans [kan-DRIK-thee-ez]? W) Teeth X) Gills Y) Scales Z) Swim bladder
Generate a Biology short answer question:,"Place the following four animals in order of lowest to highest energy cost per unit body weight for regulation of body temperature: python, canary, human, poodle."
Generate a Chemistry short answer question:,"The van der Waals equation is an equation of state for real gases that contains two gas-dependent parameters, a and b. What state function from the ideal gas equation does the a parameter modify in the van der Waals equation?"
Generate a Chemistry multiple choice question:,Which of the following statements concerning the particle-in- a-box model is false? W) The potential well is approximated to be infinitely deep X) The ground state energy increases with the length of the box Y) The energy levels are quantized Z) The energy of level n is proportional to n squared
Generate a Math multiple choice question:,"(cid:2870)(cid:3051) (cid:3051) 13) MATH Multiple Choice If (cid:3398) [ two x divided by three minus x divided by six] is an (cid:2871) (cid:2874) integer, which of the following MUST be true regarding x? W) x is negative X) x is a multiple of two Y) x is a multiple of three Z) x is odd"
Generate a Math short answer question:,What is the smallest positive integer that can be added to 2500 to get a perfect square?
Generate a Energy multiple choice question:,A 100 mile 765 kilovolt line carrying 1000 megawatts of energy can have losses ranging from 1.1% to 0.5%. Which of the following best approximates the losses as a ratio to the 1.0% of a 345 kilovolt line carrying the same load across the same distance? W) 1/10 X) 1/4 Y) 4/1 Z) 10/1
Generate a Energy short answer question:,"If a single electric distribution line has a resistance of 1 ohm per 1000 meters and current at 50 amps, what will be the voltage reduction over a 10 kilometer run?"
Generate a Biology short answer question:,"Identify all of the following three neurotransmitters that are considered to have only excitatory actions: 1) acetylcholine [uh-seet-l-KOH-leen], 2) GABA, 3) glutamate."
Generate a Biology short answer question:,What specific cell type in the stomach is responsible for production of hydrochloric acid in response to stimulation by gastrin?
Generate a Chemistry multiple choice question:,Which of the following organic functional groups does NOT exhibit sp2 [s-p-2] hybridization? W) Ketones X) Aldehydes [AL-duh-hyds] Y) Amides Z) Amines
Generate a Chemistry multiple choice question:,Which of the following statements is true regarding the chemistry of the alkaline earth elements? W) Compounds of beryllium have the most covalent character X) Melting point increases as you go down the group Y) Atomic radius decreases as you go down the group Z) Barium has a distinct red flame test color
Generate a Math multiple choice question:,Which of the following statements is TRUE? W) (cid:3398)7 is not a prime number X) (cid:1857)(cid:3036)(cid:3095) (cid:3404) (cid:3398)(cid:1857)(cid:2879)(cid:3036)(cid:3095) [e to the power of quantity I times pi equals negative e to the power of quantity negative I times pi] Y) All pairs of perpendicular lines in the Cartesian plane have slopes that are negative reciprocals of each other Z) There is no number (cid:1853) such that log(cid:4666)(cid:3398)(cid:1853)(cid:4667) [log of negative a] exists.
Generate a Math short answer question:,"If a circle is divided into 8 sectors whose central degree angles are integers that form an arithmetic sequence with first term 3, what is the common difference for the sequence?"
Generate a Physics short answer question:,"Assuming the heat of fusion for water is 80 calories per gram, what is the increase in entropy, in calories per Kelvin, for a 273 gram block of ice at 0 degrees Celsius when it melts?"
Generate a Physics multiple choice question:,"An -particle [alpha particle] and a proton, both initially at rest, are accelerated through a potential difference of 105 kilovolts. Find the ratio (K /K ) [k alpha  p over k proton] of their final kinetic energies. W) 1/4 X) 1/2 Y) 2 Z) 4"
Generate a Chemistry multiple choice question:,Which of the following best describes the elementary kinetic step where a proton is transferred directly between an ammonium ion and water? W) Unimolecular X) Bimolecular Y) Trimolecular Z) Tetramolecular
Generate a Chemistry short answer question:,"One liter of a saturated solution of silver chromate contains 0.0002 moles of the silver cation [KAT-eye-uhn] and 0.00003 moles of the chromate ion. To two significant figures and in scientific notation, what is the Ksp of silver chromate?"
Generate a Biology multiple choice question:,Which of the following vitamin deficiencies causes the condition known as “Pellagra”? W) Vitamin B 3 X) Vitamin B 6 Y) Vitamin B 2 Z) Vitamin B 1
Generate a Biology short answer question:,How many molecules of ATP are needed to synthesize two glucose molecules in the Calvin cycle?
Generate a Energy multiple choice question:,Energy radiates from a surface as a function of temperature to what power? W) 1 X) 3 Y) 2 Z) 4
Generate a Energy multiple choice question:,Which of the following rare earth elements is used to produce magnets for wind turbines? W) Europium X) Gadolinium [gad-l-IN-ee-uhm] Y) Scandium Z) Neodymium
Generate a Biology short answer question:,"What is the common name of the group of marine spiny-finned fish of the order Heterosomata, all of which, when adult, swim along the sea floor on one side of the body, which is highly compressed and has both eyes on the uppermost side?"
Generate a Biology multiple choice question:,"Which of the following statements is NOT true about otters? W) Newborn otters are taken care of by their fathers only X) Their dens are called holts or couches Y) They feed on fish, shellfish, amphibians and birds Z) A male otter is called a dog"
Generate a Physics multiple choice question:,Which of the following cells cannot be recharged? W) Dry X) Wet Y) Primary Z) Secondary
Generate a Physics multiple choice question:,Changing which of the following will NOT result in a change in the voltage induced in a rotating wire coil? W) Rate of rotation X) Wire resistance Y) Number of coil loops Z) Average loop area
Generate a Math short answer question:,What is x equal to in the following expression: [log base x of x 7 equals 1]? log 7 = 1
Generate a Math short answer question:,"If the length, width, and height of a right rectangular prism are in the ratio of [3 to 4 to 12], find the height in meters of the solid if the diagonal of the solid is meters long. 3:4:12 26"
Generate a Chemistry multiple choice question:,"When assigning electrons to subshells, which of the following subshells will be filled first? W) 4f X) 5s Y) 5d Z) 6s"
Generate a Chemistry short answer question:,Which of the gas laws is demonstrated when an aerosol can is thrown into a fire and explodes?
Generate a Energy short answer question:,What is the term for a device used to determine or measure the presence of electrostatic charges?
Generate a Energy short answer question:,What is the efficiency of an appliance whose useful energy output is 5 joules and wasted energy is 20 joules?
Generate a Math short answer question:,"Given that g ≤ f ≤ h for all x, the [limit as x approaches a of g of x is M], and the [limit as x approaches a of h of x is M], what is the [limit as x ( 𝑥a ) ppro ( a𝑥c ) hes ( a𝑥 ) of f of x]? lim𝑥→a𝑔(𝑥)= M lim𝑥→aℎ(𝑥)= M"
Generate a Math short answer question:,What is the largest possible real domain of x x ) [f of x equals the natural log of the quantity 3x minus 1]? f ( ) = ln(3 – 1
Generate a Physics short answer question:,"In 1868, observers of a solar eclipse first noticed a bright yellow spectral line. They theorized that this was due to a new element and gave it what sun-inspired name?"
Generate a Physics multiple choice question:,"An electroscope is negatively charged, with the leaves at an angle of about 45°. When a negatively charged rod is slowly brought near the plate of the electroscope, the leaves do which of the following? W) Repel X) Attract Y) Repel then attract Z) Fall to zero then repel"
Generate a Math short answer question:,"W is one of the vertices of a polygon. If there are diagonals of the polygon that contain W, how many sides does the polygon have? 8"
Generate a Math short answer question:,A fair standard six-sided die is rolled two times. What is the probability that the sum of the numbers on the two rolls will be greater than ?
Generate a Chemistry short answer question:,What is the name of the bond linking each fatty acid to glycerol [GLIS-uh-rol] in a triglyceride?
Generate a Chemistry short answer question:,"Several candidates have been proposed as the discoverer of oxygen. Who, however, is the scientist who most carefully documented his work and thus has been credited with its discovery?"
Generate a Energy multiple choice question:,Which of the following particles has the least penetrating power? W) Neutron X) Alpha particle Y) Beta particle Z) Positron
Generate a Energy multiple choice question:,The power produced by a wind turbine depends primarily on which of the following parameters? W) Air volume X) Wind pressure Y) Blade radius Z) Air coefficient
Generate a Biology short answer question:,Which gas was in short supply in the Earth’s atmosphere prior to the evolution of the citric acid cycle?
Generate a Biology multiple choice question:,Neurons can communicate with each another at synapses via synaptic vesicles. Which of the following does NOT participate in communication at these sites? W) Neurotransmitter X) Gated channels Y) ATP dependent channels Z) Acetylcholine [uh-seet-l-KOH-leen]
Generate a Physics short answer question:,"A lunar vehicle on Earth moves at 10 kilometers per hour. When it travels at the same speed on the Moon, what is its momentum in comparison to its momentum on Earth, assuming that the Moon’s gravitational force is one fifth that of Earth’s?"
Generate a Physics short answer question:,Coulomb’s law states that an electric force between two charges is inversely proportional to the square of what quantity?
Generate a Math multiple choice question:,"Which of the following numbers is NOT prime? W) X) Y) 107 Z) 109 111 AN1S1W3 ER: Y) 111 BONUS 16) MATH Short Answer Todd the Tortoise is 268 years old, while Sammy the Snail is 32 years old. How many years will it take for Todd’s age to be exactly 5 times Sammy’s age?"
Generate a Chemistry short answer question:,"What element has the following four characteristics: 1) it occurs naturally only in combination with other elements in minerals; 2) it is used primarily as a hardening agent in alloys; 3) its dust is highly toxic, and 4) it is an alkaline [AL-kuh-lyn] earth metal."
Generate a Chemistry short answer question:,"Identify all of the following four compounds that are ionic: 1) sodium sulfate, 2) methane, 3) ammonium chloride, 4) beryllium iodide."
Generate a Energy multiple choice question:,Rectifiers are used in computers and other appliances to do which of the following? W) Convert direct current to alternating current X) Convert alternating current to direct current Y) Provide a steady amount of power at all times Z) Reduce the energy consumption of an appliance
Generate a Energy short answer question:,"When inductors are present in circuits with alternating currents, what type of power do they consume?"
Generate a Biology multiple choice question:,Which of the following best describes why the xylem [ZY-luhm] is an important plant tissue? W) It transports water and minerals from the roots to the leaves X) It transports water and minerals from the leaves to the roots Y) It is the best part of the plant to eat Z) It gives a plant its strength to stand straight
Generate a Biology multiple choice question:,Your body has approximately one million B cells and ten million different T cells. A gram-negative bacterium enters your body and one of your B cells binds to the bacterium via the BCR recognizing the LPS. Which of the following will happen next? W) The B cell will proliferate X) The virus will enter the B cell Y) Similar T cells will be destroyed Z) The B cell will be destroyed
Generate a Physics short answer question:,What is the SI unit of inductance?
Generate a Physics multiple choice question:,"A radioactive element has a half life of 50 seconds. Which of the following is true of a sample of such an element? W) Every atom of the element decays after 50 seconds X) Every atom of the element decays after 100 seconds Y) After 100 seconds, one fourth of the sample has decayed Z) After 100 seconds, three fourths of the sample has decayed"
Generate a Math short answer question:,Give the coordinates of the point where the line x y intersects the x axis. 3 + 2 = 18
Generate a Math multiple choice question:,"A jar contains 50 marbles. Exactly 10% are green, 20% are blue, 30% are yellow, and the rest are orange. Which of the following is the probability of randomly picking first a blue marble, replacing it, and then picking an orange marble? W) 1 X) 25 2 Y) 25 3 Z) 25 4 25"
Generate a Chemistry multiple choice question:,Which of the following is NOT a buffering agent? W) Magnesium oxide X) Rubidium hydroxide Y) Ammonia Z) Monopotassium phosphate
Generate a Chemistry short answer question:,"What is the name of the reaction, commonly used in lecture demonstrations, in which two colorless solutions are mixed, and the liquid turns to a shade of dark blue after a short time delay?"
Generate a Biology short answer question:,What is the common name of the unicellular organism that has the following characteristics: 1) it has chloroplasts and can make its own food; 2) it can also ingest food from its environment; 3) it usually lives in ponds or puddles; 4) it moves by a flagellum; 5) it has an eyespot that detects light.
Generate a Biology multiple choice question:,The gram stain can be used to distinguish between different prokaryotes [proh-KAR-ee-ohts] based on which of the following? W) Glucose metabolism X) Flagella Y) Lactose metabolism Z) Cell wall morphology
Generate a Biology multiple choice question:,Biology – Multiple Choice In what organ are dietary fats primarily absorbed? W) Small intestine X) Large intestine Y) Stomach Z) Liver
Generate a Biology multiple choice question:,"Biology – Multiple Choice Sepals, petals, and which of the following provide the most complete description for the floral parts that could be found in a single flower of a monoecious plant species? W) Stamens and carpels X) Filaments Y) Carpels Z) Pistils"
Generate a Chemistry multiple choice question:,Chemistry – Multiple Choice O and O are considered what type of molecules? 2 3 W) Allotropes X) Structural isomers Y) Isotopes Z) Geometrical isomers
Generate a Chemistry multiple choice question:,"Chemistry – Multiple Choice If we assume that the bond order in carbon monoxide is three, which of the following correctly gives the formal charges on carbon and oxygen? W) 0 on both carbon and oxygen X) +1 on carbon and -1 on oxygen Y) -1 on carbon and +1 on oxygen Z) +2 on carbon and -2 on oxygen"
Generate a Energy short answer question:,Energy – Short Answer Order the following three lightbulb technologies from least to most efficient: 1) Light-emitting diode; 2) Incandescent; 3) Compact fluorescent.
Generate a Energy short answer question:,Energy – Short Answer Coal gas was largely used for municipal lighting and heating before it was supplanted by what fuel source?
Generate a Physics multiple choice question:,"Physics – Multiple Choice A rock on the end of a string is being swung in a circle above a child's head. The string breaks. Neglecting gravity, in what direction does the acceleration of the rock now point? W) Tangent to the circle X) Inwards towards the center of the circle Y) Outwards away from the center of the circle Z) The acceleration is now zero"
Generate a Physics short answer question:,Physics – Short Answer What is the most malleable element at STP?
Generate a Math short answer question:,"Math – Short Answer What is the midpoint of the segment with endpoints (1, 6) and (5, -2)?"
Generate a Math short answer question:,Math – Short Answer Solve the following system of two equations in two unknowns: x2 + y2 = 2 and x + y = 2.
Generate a Physics multiple choice question:,"Physics – Multiple Choice Light traveling in a vacuum hits a refractive material at an angle of 60 degrees from the normal. If it travels through the material at an angle of 30 degrees from the normal, which of the following is the refractive index of the material? W) Square root of 3 divided by 2 X) Square root of 3 Y) 2 Z) 2 times the square root of 2"
Generate a Physics short answer question:,Physics – Short Answer How many lumens does an isotropic source of 1 candela emit into the upper half plane?
Generate a Chemistry short answer question:,Chemistry – Short Answer Part of the reason that graphene demonstrates such high mechanical strength is that the carbon atoms are in what hybridization state?
Generate a Chemistry short answer question:,Chemistry – Short Answer Order the following three gases from slowest to fastest in terms of their rate of effusion at 25 degrees Celcius: 1) Helium; 2) Argon; 3) Neon.
Generate a Math short answer question:,"Math – Short Answer Specifying whether your answer is open or closed, what is the interval of angles in degrees whose terminal sides are in the second quadrant?"
Generate a Math multiple choice question:,Math – Multiple Choice Which of the following base 2 sums is the largest? W) 1 + 1111 [one plus one one one one] X) 100 + 1001 [one zero zero plus one zero zero one] Y) 110 + 1000 [one one zero plus one zero zero zero] Z) 111 + 111 [one one one plus one one one]
Generate a Energy multiple choice question:,Energy – Multiple Choice Which of the following is NOT an advantage of green roofs? W) Improved waterproofing X) Improved lifespan of roof Y) Reduced heating costs Z) Reduced cooling costs
Generate a Energy multiple choice question:,Energy – Multiple Choice Which of the following is NOT a desirable quality in the material used to coat nuclear fuel rods? W) Corrosion resistant X) High neutron absorption Y) High hardness Z) Low reactivity to water
Generate a Biology multiple choice question:,Biology – Multiple Choice Which of the following structures is referred to as our body’s internal gyroscope? W) Inner ears X) Eyes Y) Outer ears Z) Nose
Generate a Biology multiple choice question:,Biology – Multiple Choice Heartwood and sapwood consist of which of the following? W) Bark X) Secondary xylem Y) Periderm Z) Secondary phloem
Generate a Biology multiple choice question:,Biology – Multiple Choice What material typically constitutes the cell wall in fungi? W) Cellulose X) Peptidoglycan Y) Pectin Z) Chitin
Generate a Biology multiple choice question:,Biology – Multiple Choice Which of the following is NOT an example of a stone fruit? W) Almond X) Coconut Y) Cherry Z) Apple
Generate a Physics multiple choice question:,"Physics – Multiple Choice Which of the following is the equivalent resistance, in ohms, of a circuit in which a 5 ohm resistor is connected in series to two 4 ohm resistors which are connected in parallel? W) 10/7 X) 40/13 Y) 7 Z) 13"
Generate a Physics short answer question:,"Physics – Short Answer A man drops a 10 kilogram rock from the top of a building of height 180 meters. If you assume the acceleration due to gravity is 10 meters per second squared, what is the speed, in meters per second, of the rock just before it hits the ground?"
Generate a Math short answer question:,Math – Short Answer What is the limit as x approaches 3 of the function with numerator x – 3 and denominator x2 – 9?
Generate a Math short answer question:,Math – Short Answer Special water for a 600-liter aquarium is only sold in 35-liter containers. What is the minimum number of these 35-liter containers you would need to buy to be able to completely fill the tank?
Generate a Chemistry multiple choice question:,Chemistry – Multiple Choice The bond angle in NH is closest to which of the following 3 degree values? W) 90 X) 110 Y) 120 Z) 180
Generate a Chemistry multiple choice question:,"Chemistry – Multiple Choice D orbitals can overlap to form sigma, pi, or delta bonds. Which of these types of d-d bonds is strongest? W) Sigma X) Pi Y) Delta Z) They are equally strong"
Generate a Energy short answer question:,"Energy – Short Answer The Athabasca oil sands, the largest bitumen deposit in the world, are located in what country?"
Generate a Energy short answer question:,"Energy – Short Answer Syngas, produced from coal gasification, is made up primarily of what two gases?"
Generate a Math short answer question:,"Math – Short Answer Given f(x) = 3x – 5 and g(x) = 4x, what is f of g of x?"
Generate a Math short answer question:,Math – Short Answer What is the least common multiple of the first four composite numbers?
Generate a Chemistry multiple choice question:,Chemistry – Multiple Choice An atom is sp3 [S-P-3] hybridized. Which of the following is NOT a possible molecular geometry about this atom? W) Bent X) Trigonal pyramidal Y) Tetrahedral Z) Trigonal bipyramidal
Generate a Chemistry short answer question:,Chemistry – Short Answer What region of the electromagnetic spectrum would be able to excite an electron from a 1s orbital to a 2p orbital in a helium atom?
Generate a Biology multiple choice question:,Biology – Multiple Choice Which of the following describes antibody-dependent cell- mediated cytotoxicity? W) An invertebrate host defense mechanism X) Achieved via the classical complement pathway Y) Mediated by Fc receptors on NK cells and myeloid leukocytes Z) The primary cytotoxic pathway mediated by T cells
Generate a Biology multiple choice question:,Biology – Multiple Choice Which of the following is NOT a biogenic amine? W) Dynorphin [dye-NOR-fin] X) Norepinephrine [NOR-eh-pih-NEH-frin] Y) Dopamine Z) Histamine
Generate a Physics multiple choice question:,"Physics – Multiple Choice A student at the edge of a merry-go-round travels along an arc of length 6.28 meters as the ride completes a pi/4 angular rotation. To the nearest meter, what is the radius of the ride? W) 2 X) 4 Y) 8 Z) 16"
Generate a Physics short answer question:,"Physics – Short Answer An object is placed 10 centimeters from a thin lens with a focal length of 2 centimeters. With a negative sign meaning an inverted image, what is the magnification of this system?"
Generate a Physics multiple choice question:,Resonance in a musical instrument is MOST directly exemplified by: W) sympathetic harmonic vibration X) destructive interference Y) dissonance in the standing wave Z) diffraction
Generate a Physics short answer question:,"The specific heat of a certain metal is 0.750 joules per gram kelvin. How much heat, in joules to the nearest whole number, will it take to increase the temperature of 0.50 kilograms of the metal from 25ºC to 50ºC?"
Generate a Chemistry multiple choice question:,"Solvents, such as water, that can both donate and accept protons are typically described as: W) resonant X) metalloid Y) amphoteric Z) polyprotic"
Generate a Chemistry multiple choice question:,"When going from left to right, elements in the same period of the Periodic Table have progressively smaller atomic radii because of: W) increased effective nuclear charge X) decreased effective nuclear charge Y) addition of electrons Z) addition of neutrons"
Generate a Biology multiple choice question:,Which of the following is missing in bryophytes and is an evolutionary advancement of higher plants: W) vascular tissue X) epidermal tissue Y) chloroplasts Z) plasmodesmata (read as: PLAS-mo-dez-MAH-tah)
Generate a Biology short answer question:,"If the flower color red is dominant and white is recessive, what will be the expected phenotypic ratio of red to white flowers in the first generation of a cross between parent plants both heterozygous for flower color?"
Generate a Math short answer question:,"What is the domain and range for the function defined by the following set of three ordered pairs: {(–2, 6), (0, 9), (3, 7)}"
Generate a Math short answer question:,"Giving your answer in centimeters to the nearest whole number, what is the perimeter of a closed quarter-circle whose radius is 12 centimeters?"
Generate a Earth science multiple choice question:,What type of stream only bears water during and immediately after a rainstorm: W) ephemeral X) intermittent Y) perennial Z) dendritic
Generate a Earth science multiple choice question:,Which of the following is NOT true about ocean tides: W) the Moon’s influence on Earth’s tides is about 2-times greater than the Sun’s influence X) a complete tidal day is about 24 hours 50 minutes long Y) some coastlines have 2 high tides and 2 low tides each lunar day whereas some have only have 1 high tide and 1 low tide each lunar day Z) spring high tides typically have greater ranges in the Northern Hemisphere during summer than during winter
Generate a Physics short answer question:,"What is the acceleration, in meters per second squared, of a 10-kilogram snow sled that is on a frictionless horizontal surface if a horizontal force of 500 newtons is applied to it?"
Generate a Physics multiple choice question:,What is the speed of light in meters per second for monochromatic light of 780 nanometers in glass with a refractive index of 1.55: W) 1.5 × 108 X) 1.9 × 108 Y) 4.65 × 107 Z) 4.65 × 108
Generate a Chemistry multiple choice question:,Which of the following is a nonpolar molecule: W) HCN X) HBr Y) CHCl 3 Z) CO 2
Generate a Chemistry multiple choice question:,Which of the following is the general formula for a noncyclic alkene (read carefully as: al-KEEN) with n number of carbon atoms: W) C H n 2n X) C H n 2n+2 Y) C H n 2n–2 Z) C H n 2n+1
Generate a Biology short answer question:,"In photosystem one, when NADP+ forms NADPH with the catalytic help of NADP+ reductase, from what specific place in the chloroplast are the hydrogen ions derived?"
