type,subject,format,question,answer
bonus,physics,Short Answer,"Three particles A, B, and C form an equilateral triangle with a side length of 140 centimeters. A lies at the origin with a mass of 1.1 kilograms. B lies on the x axis with a mass of 2.5 kilograms. C lies in Quadrant I with a mass of 3.4 kilograms. To the nearest centimeter, what is the x coordinate of the center of mass of this system?","84
_______________________________________________________"
toss-up,energy,Short Answer,"In the nuclear fission process to create electricity, Uranium 235 is split into many different products including thorium, protactinium, and actinium. With what stable element does it eventually end its decay chain?",LEAD
bonus,energy,Multiple Choice,Which of the following vehicle engine technologies improves engine fuel efficiency the most? W) Cylinder deactivation X) Direct fuel injection and a turbocharger Y) Integrated starter/generator Z) Variable valve timing and lift,"X) DIRECT FUEL INJECTION AND A TURBOCHARGER
Round 8 Page 7"
toss-up,math,Short Answer,"Suppose the average score on a national test is 500, with a standard deviation of 100. If each score is increased by 25, what are the new mean and standard deviation, respectively?",525 AND 100
bonus,math,Short Answer,ln (x + 2) 15) MATH Short Answer What is the set of all real numbers on which the function 1 + 2 (cid:0) x (read as: the natural log of the quantity x plus two over open parenthesis 1 plus the square root of the quantity 2 minus x close parenthesis) is well defined?,"(-2, 2] (ACCEPT: ALL REAL NUMBERS GREATER THAN NEGATIVE 2 AND LESS
THAN OR EQUAL TO 2)
_______________________________________________________"
toss-up,,Multiple Choice,16) EARTH AND SPACE Multiple Choice Which of the following areas exhibits the highest total relief? W) Tibetan plateau X) Rocky Mountains Y) Great Plains Z) Hawaiian Islands and seamounts,Z) HAWAIIAN ISLANDS AND SEAMOUNTS
bonus,,Multiple Choice,16) EARTH AND SPACE Multiple Choice Which of the following will cause adiabatic warming? W) Increasing pressure X) Decreasing pressure Y) Condensation releasing latent heat Z) Heat being added to the volume of air,"W) INCREASING PRESSURE
Round 8 Page 8"
toss-up,physics,Multiple Choice,"Which of the following statements concerning the magnetic field inside and far from the surface of a long, current-carrying solenoid is TRUE? W) It is zero X) It is non-zero and nearly uniform Y) It varies with 1/r as measured from the solenoid axis Z) It is independent of the current in the solenoid",X) IT IS NON-ZERO AND NEARLY UNIFORM
bonus,physics,Short Answer,"Given that objects that have mass greater than 0, by number, identify all of the following four statements that are TRUE: 1) momentum is a form of energy; 2) if an object has momentum, then it must also have mechanical energy; 3) if an object does not have momentum, then it does not have mechanical energy either; 4) if two objects of different mass have the same momentum, then the less massive object will have the greater kinetic energy.","2 AND 4
_______________________________________________________"
toss-up,math,Short Answer,What is the name of the type of surface generated by the equation z = x2+ y2?,ELLIPTIC PARABOLOID
bonus,math,Short Answer,"If the probability of event A is 0.25, the probability of event B is 0.5, and the probability of the union of A and B is 0.55, expressing your answer as a decimal to the nearest tenth, what is the probability of the intersection of A and B?","0.2
Round 8 Page 9"
toss-up,energy,Multiple Choice,Which of the following is the purpose of a fuel cell stack in a fuel cell vehicle? W) Store hydrogen gas compressed at extremely high pressure to increase driving range X) Govern the flow of electricity Y) Store energy generated from regenerative braking Z) Convert hydrogen and oxygen gas into electricity to power the electric motor,"Z) CONVERT HYDROGEN AND OXYGEN GAS INTO ELECTRICITY TO POWER
THE ELECTRIC MOTOR"
bonus,energy,Multiple Choice,"In an experiment, students find the relationship between the period of a stick vibrating at its natural frequency and the length L of the stick, measuring the period of the vibrations with a photogate. Which of the following statements BEST reflects the results of the experiment with regard to the period of the vibrating stick? W) It is proportional to L X) It is inversely proportional to L Y) It is proportional to L2 Z) It is inversely proportional to L2","Y) IT IS PROPORTIONAL TO L2
_______________________________________________________"
toss-up,biology,Short Answer,What is the name of the main respiratory structure in arachnids?,BOOK LUNGS (DO NOT ACCEPT: LUNGS)
bonus,biology,Short Answer,"Book lungs evolved from book gills. What ancient arthropod group, still extant today, has book gills?","HORSESHOE CRABS (ACCEPT: MEROSTOMATA)
Round 8 Page 10"
toss-up,math,Multiple Choice,Which of the following is a function for which f(-x) = -f(x) (read as: f of negative x equals negative f of x)? W) sin(x) X) x2 Y) cos(x) Z) ex,W) sin(x)
bonus,math,Short Answer,"The four lateral faces of a square pyramid are equilateral triangles. If the area of the base is 49 square centimeters, what is the total surface area, in square centimeters, in simplest radical form?","49 + 49 3 (ACCEPT: 49(1 + 3))
_______________________________________________________"
toss-up,biology,Short Answer,How many copies of each chromosome does a male wasp have?,1
bonus,biology,Multiple Choice,Which of the following is NOT in the insect group Apterygota (read as: ahp-teh-ri-GŌE-tah)? W) Cockroach X) Firebrat Y) Bristletail Z) Silverfish,"W) COCKROACH
Round 8 Page 11"
toss-up,energy,Short Answer,"In an experiment, students burned samples of methanol, ethanol, vegetable oil, peanut oil, and kerosene. Which two were the cleanest burning?",METHANOL AND ETHANOL
bonus,energy,Short Answer,"What kind of compound consists of methane surrounded by a crystal cage of water molecules, forming a solid similar to ice?","METHANE CLATHRATE (ACCEPT: METHANE HYDRATE, HYDROMETHANE)
_______________________________________________________"
toss-up,physics,Multiple Choice,"Given 9.8 meters per second squared as g, how much kinetic energy in joules is lost when a 100-gram ball dropped from a 2 meter height rebounds to 1.5 meters? W) 1.96 X) 1.47 Y) 0.98 Z) 0.49",Z) 0.49
bonus,physics,Short Answer,"As a rock with a mass of 4-kilograms drops from the edge of a 40- meter-high cliff, it experiences air resistance with an average strength of 20 newtons during the descent. Given g as 10 meters per second squared, at what speed, in meters per second, will the rock hit the ground?","20
Round 8 Page 12"
toss-up,biology,Multiple Choice,Cyclic photophosphorylation (read as: FŌE-tōe-fohs-fohr-i-LAY- shon) functions mainly for which of the following purposes? W) Generating NADPH X) Generating PGAL Y) Recycling electrons resulting from the absorption of light in Photosystem I Z) Regenerating RuBP,"Y) RECYCLING ELECTRONS RESULTING FROM THE ABSORPTION OF LIGHT
IN PHOTOSYSTEM I"
bonus,biology,Multiple Choice,Which of the following compounds acts as an activator protein for the lactose operon in Escherichia (read as: ehsh-eh-RIK-ee-ah) coli? W) AP-1 X) AP-2y Y) CAP Z) SAP,"Y) CAP
Round 8 Page 13"
