type,subject,format,question,answer
bonus,biology,Multiple Choice,Mineral salts participate in enzymatic activity as which of the following? W) Co-factors X) Activators Y) Stabilizers Z) Catalysts,"W) CO-FACTORS
_______________________________________________________"
toss-up,math,Multiple Choice,Which of the following statements is NOT true about Taylor series? W) Taylor series are defined for infinitely differentiable functions X) All Taylor series are power series Y) All Taylor series are convergent Z) The first n terms of a Taylor series approximate a function with a polynomial,Y) ALL TAYLOR SERIES ARE CONVERGENT
bonus,math,Short Answer,"Considering the function f x = 3x2- 4x + 1, what is the average rate of change from x = 2 to x = 5?","17
Round 4 Page 8"
toss-up,chemistry,Multiple Choice,Which of the following statements is TRUE of ceramics? W) They are homogeneous X) They are heterogeneous (read as: heh-teh-roh-JEE-nee-is) Y) They are chelates Z) They are a form of glass,X) THEY ARE HETEROGENEOUS
bonus,chemistry,Multiple Choice,Which of the following elements has the valence electron configuration of 3s23p3? W) Phosphorus X) Oxygen Y) Bromine Z) Nitrogen,"W) PHOSPHORUS
_______________________________________________________"
toss-up,,Short Answer,"18) EARTH AND SPACE Short Answer What term is often used to describe a winter storm that strikes the East Coast of the United States, involving a low pressure system that picks up moisture from the ocean and often dumps snow on land?",NOR’EASTER
bonus,,Short Answer,18) EARTH AND SPACE Short Answer What optical device completely eliminates chromatic aberration in telescopes?,"CURVED MIRRORS (ACCEPT: MIRRORS)
Round 4 Page 9"
toss-up,chemistry,Multiple Choice,Which of the following represents the electron-pair geometry of the central oxygen atom of ozone? W) Linear X) Trigonal planar Y) Tetrahedral Z) Trigonal bipyramidal,X) TRIGONAL PLANAR
bonus,chemistry,Short Answer,"Within a single atom, what is the maximum number of electrons that can fit in an atomic shell defined by the quantum numbers n = 3 and l = 2 (read as: L equals 2)?","10
_______________________________________________________"
toss-up,biology,Short Answer,One group of carbohydrates is known as polyhydroxylated aldehydes. By what other term is this group described?,ALDOSE
bonus,biology,Short Answer,Bacteria depend on cell membrane lipids to provide structure and stability. What physical environmental factor is most likely to cause these membranes to lose stability?,"TEMPERATURE
Round 4 Page 10"
toss-up,chemistry,Short Answer,What is the IUPAC name for SnCl ∙ 6H O? 2 2,TIN (II) CHLORIDE HEXAHYDRATE
bonus,chemistry,Short Answer,"By name or number, list all of the following five substances that are NOT Newtonian fluids: 1) gasoline, 2) yogurt, 3) water, 4) blood, 5) ketchup.","YOGURT, BLOOD, AND KETCHUP (ACCEPT: 2, 4, AND 5)
_______________________________________________________"
toss-up,math,Multiple Choice,Which of the following statements is NOT an advantage of a repeated-measures design compared to an independent-measures design to compare two treatment conditions? W) It requires fewer subjects X) It is better suited to study development that takes place over time Y) It reduces problems caused by individual differences Z) It reduces the confounding effects of other factors,Z) IT REDUCES THE CONFOUNDING EFFECTS OF OTHER FACTORS
bonus,math,Short Answer,"The linear function y = f(x) contains the two points (2, 1) and (5, 8). In simplest form, what is f(13)?","80/3 (ACCEPT: 26 2/3)
Round 4 Page 11"
toss-up,math,Short Answer,"A population has a mean of 73 and a standard deviation of 8. If the distribution is standardized to create a new distribution with a mean of 100 and a standard deviation of 20, what is the new value of a score of 65 from the original distribution?",80
bonus,math,Short Answer,"What are, respectively, the amplitude, period, horizontal shift, and vertical shift of y = -5 + 7cos [π/6 (x + π/12)] (read as: y equals negative 5 plus 7 cosine of open bracket pi over 6 open parenthesis x plus pi over 12 close parenthesis close bracket)?","AMPLITUDE = 7, PERIOD = 12, HORIZONTAL SHIFT = - π/12 (ACCEPT: π/12
LEFT), VERTICAL SHIFT = -5 (ACCEPT: 5 DOWN)
_______________________________________________________"
toss-up,biology,Short Answer,"If a person suffers an injury and is no longer able to walk but the heart was not affected, which peripheral nervous system component is most likely to have been damaged?",SOMATIC (ACCEPT: SOMATOMOTOR SYSTEM)
bonus,biology,Short Answer,"What is the technical name of the process, usually occurring in the fall, through which deciduous plants systematically shed their leaves? A thin layer of cells may be produced during this process, thus further sealing the site of detachment.","ABSCISSION
Round 4 Page 12"
toss-up,chemistry,Multiple Choice,Which of the following can bond to a metal ion? W) Ligand X) Lewis acid Y) Bronsted-Lowry acid Z) Enantiomer,W) LIGAND
bonus,chemistry,Short Answer,How many milliliters of 0.75 molar HCl are required to completely neutralize 25.0 milliliters of 0.15 molar Ba(OH) ? 2,"10
Round 4 Page 13"
