type,subject,format,question,answer
toss-up,physics,Short Answer,"How much work, in joules, is done on a 2000-kilogram car by applying a 1000-newton force to move it 20 meters?","20,000"
bonus,physics,Short Answer,"A 50-kilogram person in an elevator is moving upward at a velocity of 2 meters per second. Given g as 9.8 meters per second squared, and providing your answer to the nearest ten, how much force, in newtons, is she exerting on the elevator floor?","490
Round 11 Page 3"
toss-up,,Short Answer,7) EARTH AND SPACE Short Answer What type of reflecting telescope uses a concave primary mirror and a flat diagonal secondary mirror to reflect the image at a 90 degree angle to an eyepiece mounted on the side of the telescope?,NEWTONIAN
bonus,,Short Answer,"7) EARTH AND SPACE Short Answer According to Bowen’s reaction series, by name or number, which of the following four minerals would be the FIRST and LAST, respectively, to crystallize out of mafic molten rock: 1) plagioclase, 2) olivine, 3) pyroxene, or 4) quartz?","FIRST: OLIVINE, LAST: QUARTZ (ACCEPT: 2 AND 4)
_______________________________________________________"
toss-up,physics,Short Answer,A thermodynamic process that takes place at a constant pressure can be described by what adjective?,ISOBARIC
bonus,physics,Short Answer,"Using 9.8 meters per second squared for g and expressing your answer in scientific notation to one significant digit, what is the water pressure, in newtons per square meter, at a depth of 2 meters in a swimming pool?","2 × 104
Round 11 Page 4"
toss-up,energy,Multiple Choice,Crates A and B have equal mass and travel the same distance on a horizontal track while a constant force F acts on A and a constant force 2F acts on B. Both crates start from rest. Which of the following equations represents the velocities V and V of A A B and B at the end of the displacement? W) V = V /2 B A X) V = 2V B A Y) V = 2V B A Z) V = 4V B A,"X) V = 2V
B A"
bonus,energy,Short Answer,"A 100 kilogram roller coaster starts from rest at a height of 500 meters. Given g as 10 meters per second squared and no friction, what speed in meters per second will it achieve at the bottom?","100
_______________________________________________________"
toss-up,math,Short Answer,"Providing your answer as an improper fraction in simplest form, what is the slope of the line tangent to the graph of 3 x2 (read as: the cube root of x squared) at the point with coordinates of (-1/8, 1/4)?",-4/3
bonus,math,Short Answer,0 10) MATH Short Answer Evaluate the integral: 36 (cid:0) x2 dx (read as: the integral from -6 to (cid:0)6 0 of the square root of open parenthesis 36 minus x squared close parenthesis d x).,"9π
Round 11 Page 5"
toss-up,,Multiple Choice,11) EARTH AND SPACE Multiple Choice Which of the following statements is TRUE about the rotation rate of the Sun at its surface? W) It is the same everywhere on the Sun X) It decreases with increasing latitude Y) It increases with increasing latitude Z) It is greatest in two bands at mid-latitude,X) IT DECREASES WITH INCREASING LATITUDE
bonus,,Short Answer,11) EARTH AND SPACE Short Answer What is the second most prevalent gaseous component of Venus’s atmosphere?,"NITROGEN (ACCEPT: N MOLECULAR NITROGEN)
2,
_______________________________________________________"
toss-up,physics,Short Answer,"An electrical field does 6 joules of work on a charged particle, moving it from 1 volts to 3 volts. What is the charge of the particle in coulombs?",3 (ACCEPT: - 3)
bonus,physics,Short Answer,"Given g as 10 meters per second squared and the speed of sound as 331 meters per second, if you dropped a pebble down a well and heard a splash 3 seconds later, approximately how far down, in meters rounded to the nearest ten, was the water?","40
Round 11 Page 6"
toss-up,,Multiple Choice,"13) EARTH AND SPACE Multiple Choice Which of the following is a characteristic of hypothetical weakly interacting massive particles, or WIMPs? W) They are fast moving X) They attract or repel ordinary particles with electrical forces Y) They are more massive than neutrinos Z) They interact with the strong nuclear force",Y) THEY ARE MORE MASSIVE THAN NEUTRINOS
bonus,,Short Answer,13) EARTH AND SPACE Short Answer What is the primary limiting nutrient in oligotrophic lakes?,"PHOSPHORUS
_______________________________________________________"
toss-up,energy,Multiple Choice,"Transformer efficiency is lowered, primarily due to power loss, at which of the following locations? W) The load X) The source Y) The core Z) The grounding point",Y) THE CORE
bonus,energy,Short Answer,"For many household appliances, a step-down transformer is used. If such a transformer has an input of 120 volts and 0.6 amperes, and an output of 24 volts, what is the maximum possible output current in amperes?","3
Round 11 Page 7"
toss-up,biology,Multiple Choice,Which of the following best explains why a Gram-negative bacterial infection would be more difficult to treat than a Gram-positive one? W) The cell membrane of Gram-positive bacteria functions as an endotoxin X) Gram-positive bacteria are facultative anaerobes Y) Gram-positive bacteria have a cell membrane and a secondary lipopolysaccharide layer (read as: lip-ōe-pahl-i-SAHK-ah-ryd) Z) Gram-negative bacteria have a cell membrane and a secondary lipopolysaccharide layer,"Z) GRAM-NEGATIVE BACTERIA HAVE A CELL MEMBRANE AND A
SECONDARY LIPOPOLYSACCHARIDE LAYER"
bonus,biology,Short Answer,"A protist is found that has an amoeba-like appearance, fuses to form multinucleate structures, lacks chlorophyll, and has sporangia that produce flagellated spores. To what phylum does it belong?","MYXOMYCOTA
_______________________________________________________"
toss-up,math,Short Answer,"If f x, y = xy + 3xy2 (read as: f of x, y equals xy plus 3xy squared), what is the partial derivative of f with respect to y?",x + 6xy
bonus,math,Short Answer,Approximate the area under f(x) = x2 + 1 from x = 0 to x = 8 using a mid-point Riemann sum with four equal subintervals.,"176
Round 11 Page 8"
toss-up,biology,Short Answer,Name the class of mollusks in which many larval stages undergo torsion.,GASTROPODA
bonus,biology,Multiple Choice,"Which of the following BEST describes the problem that torsion creates for gastropods? W) More energy is needed to develop a coiled shell X) Waste is expelled above the organism’s head and mouth Y) It limits the amount of space the organism has for growth Z) To eat, an organism must extend its body outside of its protective shell","X) WASTE IS EXPELLED ABOVE THE ORGANISM’S HEAD AND MOUTH
_______________________________________________________"
toss-up,energy,Short Answer,What kind of chemical reaction is used to produce methane from algae decomposition?,"ANAEROBIC DIGESTION (ACCEPT: GASIFICATION, PROLYSIS)"
bonus,energy,Short Answer,"You’re designing a battery pack filled with many cell phone lithium- ion batteries capable of storing 500 megawatt hours of energy. If the battery operates at a constant voltage of 3.6 volts, providing your answer in scientific notation with two significant figures, what capacity in ampere hours would you need to store 500 megawatt hours of energy?","1.4 × 108
Round 11 Page 9"
toss-up,physics,Multiple Choice,A bucket of hot oil weighing 50 newtons is lifted at constant velocity up a castle wall that is 10 meters high. It takes 20 seconds to raise the bucket up the wall. How much power was used to raise the bucket? W) 25 watts X) 25 joules Y) 500 joules Z) 500 watts,W) 25 WATTS
bonus,physics,Short Answer,"A 3.5 ampere current is maintained in a simple circuit with a total resistance of 1500 ohms. In coulombs, what net charge passes through any point in the circuit during a 30-second interval?","105
_______________________________________________________"
toss-up,biology,Multiple Choice,Which of the following is NOT a response of liver cells to glucagon? W) Decrease of glucose breakdown X) Increase of gluconeogenesis (read as: gluh-koh-nee-oh-JEHN-eh-sis) Y) Increase of release of calcium ions Z) Increase of fat synthesis,Z) INCREASE OF FAT SYNTHESIS
bonus,biology,Short Answer,What compound is secreted into the digestive system to reduce gastric acidity?,"SODIUM BICARBONATE
Round 11 Page 10"
toss-up,math,Short Answer,What is the limit of (3x2 + 6x)/(5 + 3x + x2) (read as: open parenthesis 3x squared plus 6x close parenthesis over open parenthesis 5 plus 3x plus x squared close parenthesis) as x goes to infinity?,3
bonus,math,Short Answer,"Given f(x) = tanx/secx, find f’(2π/3) (read as: Given f of x equals tangent of x over secant of x, find f prime of 2 pi over 3).","-1/2
_______________________________________________________"
toss-up,chemistry,Multiple Choice,Which of the following compounds is generally considered soluble in water? W) Sodium nitrate X) Magnesium carbonate Y) Silver chloride Z) Barium sulfate,W) SODIUM NITRATE
bonus,chemistry,Multiple Choice,"Nitrous acid plus calcium hydroxide yield calcium nitrite (read as: ni-TRITE) plus water. Which of the following represents the coefficients for the compounds, in the order listed, when the reaction is correctly balanced? W) 1, 2, 1, 1 X) 1, 1, 1, 1 Y) 2, 2, 1, 2 Z) 2, 1, 1, 2","Z) 2, 1, 1, 2
Round 11 Page 11"
toss-up,,Multiple Choice,"23) EARTH AND SPACE Multiple Choice Plate divergence is responsible for all of the following formations, EXCEPT: W) East African Rift Valley X) Iceland Y) East Pacific Rise Z) Indonesian Islands",Z) INDONESIAN ISLANDS
bonus,,Short Answer,"23) EARTH AND SPACE Short Answer By name or number, identify all of the following five geologic formations that are commonly formed at convergent boundaries where one oceanic plate is subducted below another oceanic plate: 1) trench, 2) backarc, 3) basin and range, 4) accretionary wedge, 5) rift zone.","TRENCH, BACKARC, ACCRETIONARY WEDGE (ACCEPT: 1, 2 AND 4)
_______________________________________________________"
toss-up,chemistry,Short Answer,"Name two of the elements that are common exceptions to the octet rule, because they are frequently found in compounds in which they have only six valence electrons.","(ACCEPT TWO) BORON, ALUMINUM, BERYLLIUM"
bonus,chemistry,Multiple Choice,"Regarding butylene’s alkene isomers, which of the following statements is correct? W) Some are cis-trans isomers X) Some are chiral Y) Some are enantiomers (read as: in-AHNT-ee-oh-mehrs) Z) Some are atropisomers (read as: ah-troh-pee-sōe-mehrs)","W) SOME ARE CIS-TRANS ISOMERS
Round 11 Page 12"
toss-up,biology,Short Answer,"When a plant cell is placed into a hypertonic solution, the cytoplasm in the plant cell shrinks away from the cell wall. What is the term that describes this phenomenon?",PLASMOLYSIS (DO NOT ACCEPT: OSMOSIS; LYSIS)
bonus,biology,Short Answer,"What is the adjective used to describe animals that produce live offspring that, prior to birth, were nourished via a placenta?","VIVIPAROUS
Round 11 Page 13"
