type,subject,format,question,answer
toss-up,biology,Multiple Choice,"Which of the following is NOT true about snowy plovers? W) When fighting, they may grab their enemy’s tail with their bills X) They nest on sandy beaches Y) They are endemic to New Zealand Z) Males nurture their chicks",Y) THEY ARE ENDEMIC TO NEW ZEALAND
bonus,biology,Short Answer,"What protein, released by cells in the ileum and colon, appears to inhibit appetite in humans?","PEPTIDE YY
Round 10 Page 5"
toss-up,chemistry,Short Answer,"When the equation O + C H → (read as: yields) CO + H O 2 6 14 2 2 is balanced with the lowest whole-number coefficients, what is the coefficient of O ? 2",19
bonus,chemistry,Short Answer,"Given the reaction: 4PH → (read as: yields) P + 6H , if 3(aq) 4(g) 2(g) 0.0048 moles of PH are consumed each second of the experiment, providing your answer to 3 the nearest ten thousandth, what is the rate of production in moles per second of P ? 4","0.0012
[NOTE: AQ = AQUEOUS; G = GASEOUS]
_______________________________________________________"
toss-up,math,Short Answer,3 sinx (cid:0) 2 12) MATH Short Answer Evaluate lim (read as: the limit as x approaches pi over x→π/3 π x (cid:0) 3 three of open parenthesis sine of x [pause] minus the square root of 3 over 2 close parenthesis over open parenthesis x minus pi over 3 close parenthesis).,1/2
bonus,math,Short Answer,"If the volume of oil leaked into the ocean from a damaged drilling platform is given by the equation V =0.05πr2, where r is the radius of the spill, use differentials to estimate the error in cubic meters of the volume if there is a possible error of 0.5 meters in the radius measurement of a spill of radius 100/π meters.","5
Round 10 Page 6"
toss-up,physics,Short Answer,"If in a 2-piston hydraulic device, a 100-newton force is applied to a piston with an area of 0.01 square meters, what will be the resulting force, in newtons, on a piston with an area of 0.5 square meters?",5000
bonus,physics,Short Answer,What is the centripetal acceleration in meters per second squared of a point on a bicycle tire of radius 0.81 meters when the bike is moving at 9 meters per second?,"100
_______________________________________________________"
toss-up,biology,Short Answer,"What is the general term for scientific research that looks for a useful application, process, or product in nature?",BIOPROSPECTING
bonus,biology,Short Answer,"What is the term in immunobiology that describes a lack of reaction by the body’s defense mechanisms for foreign substances, and consists of a direct induction of peripheral lymphocyte tolerance?","ANERGY
Round 10 Page 7"
toss-up,chemistry,Multiple Choice,Which of the following species is NOT considered an electrolyte? W) Sodium hydroxide X) Hydrogen chloride Y) Aluminum nitrate Z) Diethyl ether,Z) DIETHYL ETHER
bonus,chemistry,Short Answer,"By name or number, identify all of the following four substances that would show a positive result in a Benedict’s test: 1) simple sugars, 2) starches, 3) proteins, 4) lipids.","SIMPLE SUGARS (ACCEPT: 1)
_______________________________________________________"
toss-up,physics,Short Answer,How many layers of doped silicon are needed to make a transistor?,3
bonus,physics,Short Answer,"A thin copper rod 1 meter long has a mass of 0.05 kilograms and is in a magnetic field of 0.10 teslas. Given 10 meters per second squared for g, what is the minimum current in amperes needed in the rod for the magnetic force to cancel the weight of the rod?","5
Round 10 Page 8"
toss-up,,Short Answer,"17) EARTH AND SPACE Short Answer About 3.9 billion years ago, evidence suggests that the Earth was undergoing a cataclysmic convulsion in which the surfaces of the Moon, the Earth, Mercury, Venus, and Mars were heavily impacted by fragments left over from formation of the planets. What was that period called?","LATE HEAVY BOMBARDMENT (ACCEPT: ERA OF HEAVY BOMBARDMENT,
LHB, LUNAR CATACLYSM)"
bonus,,Short Answer,"17) EARTH AND SPACE Short Answer Conceptually, solar sail propulsion is based upon the transmission of the momentum of photons as they bounce off mirror-like aluminized Mylar sails. By number, identify all of the following four options that are advantages of solar sailing as compared to a conventional rocket: 1) no need to carry fuel, 2) quicker acceleration, 3) constant acceleration, 4) constant velocity.","1 AND 3
_______________________________________________________"
toss-up,physics,Multiple Choice,"On a game show, contestants spin a large wheel to determine the prize associated with correct answers. How should a contestant apply force to spin the wheel as rapidly as possible? W) Tangential to the rim of the wheel X) At a 45 degree angle to the rim of the wheel Y) Away from the center of the wheel Z) Towards the center of the wheel",W) TANGENTIAL TO THE RIM OF THE WHEEL
bonus,physics,Short Answer,"Nitrogen molecules of mass 4.65 x 1026 kilograms are contained − in a cube with sides that have an area of 6 x 104 square meters. If 5.0 x 1023 molecules collide − head on elastically each second with one wall at a speed of 300 meters per second, what is the pressure exerted on the wall to the nearest kilopascal?","23
Round 10 Page 9"
toss-up,energy,Short Answer,A 5-kilogram mass is moving along a frictionless surface with a velocity of 10 meters per second toward a horizontal spring with a spring constant of 500 newtons per meter. What is the maximum compression of the spring in meters?,1
bonus,energy,Multiple Choice,Which of the following is NOT an example of smart grid technology? W) Ground-source heat pumps X) Advanced metering infrastructure Y) Conservation voltage reduction Z) Substation automation,"W) GROUND-SOURCE HEAT PUMPS
_______________________________________________________"
toss-up,math,Multiple Choice,"The last two digits, in order, of a positive integer n are 1 and 8. Which of the following statements about n can be TRUE? W) n is divisible by 7 X) n is divisible by 5 Y) n is divisible by 4 Z) n is a perfect square",W) n IS DIVISIBLE BY 7
bonus,math,Short Answer,"In simplest radical form, what is the radius of the circle tangent to the sides of an equilateral triangle with a side length of 2? 3","3
Round 10 Page 10"
toss-up,,Multiple Choice,21) EARTH AND SPACE Multiple Choice Which of the following happens to liquid water suspended in an air mass descending on the leeward side of a mountain range? W) It condenses X) It precipitates Y) It freezes Z) It evaporates,Z) IT EVAPORATES
bonus,,Short Answer,"21) EARTH AND SPACE Short Answer By name or number, identify all of the following four factors that contribute to global wind patterns: 1) solar radiation, 2) friction, 3) pressure gradient, 4) Coriolis force.","SOLAR RADIATION, FRICTION, PRESSURE GRADIENT, AND CORIOLIS
FORCE (ACCEPT: 1, 2, 3, 4, OR ALL)
_______________________________________________________"
toss-up,physics,Multiple Choice,"If g and g are the accelerations due to gravity on the surfaces E M of Earth and the Moon respectively, and if Millikan’s oil drop experiment could be performed on the two surfaces, the ratio of the electronic charge on the Moon to the electronic charge on the Earth would be which of the following? W) g /g E M X) 1 Y) g /g M E Z) (g /g )2 M E",X) 1
bonus,physics,Short Answer,"Providing your answer in scientific notation with two significant digits, how much energy in joules is required to heat a clay pizza baking stone with mass of 4.8 kilograms and a specific heat of 860 joules per kilogram Kelvin from 25° Celsius to 235° Celsius?","8.7 × 105
Round 10 Page 11"
toss-up,,Multiple Choice,23) EARTH AND SPACE Multiple Choice Which of the following U.S. coastlines would change the LEAST as sea level rises? W) West coast X) Gulf coast Y) Northeast coast Z) Florida coast,W) WEST COAST
bonus,,Short Answer,"23) EARTH AND SPACE Short Answer By number, identify all of the following four statements that represent a significance of an unconformity in the rock record: 1) it represents missing time; 2) it represents extra time; 3) it represents periods of erosion and/or non-deposition of sediment; 4) it represents periods of faster or increased deposition of marine sediment.","1 AND 3
_______________________________________________________"
toss-up,energy,Short Answer,Which hydroelectric dam has the greatest power capacity in the world?,THREE GORGES DAM
bonus,energy,Short Answer,"Two men tried to lift a 95-kilogram sack of grain to a storage room on the second floor using ropes. Just as the sack reached the second floor, the rope broke and the sack dropped and hit the ground. The kinetic energy of the sack was 3500 joules just before it struck the ground. Given g as 9.8 meters per second squared and providing your answer to the nearest meter, what was the height of the second floor?","4
Round 10 Page 12"
toss-up,biology,Multiple Choice,"Of the seven species of sea turtles, six are found in U.S. waters. Which of the following species of sea turtles is NOT found in U.S. waters? W) Flatback X) Green Y) Kemp’s ridley Z) Leatherback",W) FLATBACK
bonus,biology,Short Answer,"By name or number, identify all of the following four types of fishing gear that are known to inadvertently catch large numbers of sea turtles: 1) gillnets, 2) longlines, 3) pound nets, 4) trawls.","GILLNETS, LONGLINES, POUND NETS, AND TRAWLS (ACCEPT: 1, 2, 3, 4 OR
ALL)
Round 10 Page 13"
